iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 15, 2018"
Total Net Assets,"45,698,664,979.10"
Shares Outstanding,"525,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Equity","0.28","30.20","4,309,213.00","130,138,232.60","130,138,232.60","Financials","2810133","US8287302009","NASDAQ"
"VIAV","VIAVI SOLUTIONS INC","Equity","0.28","10.46","12,440,774.00","130,130,496.04","130,130,496.04","Information Technology","BYXB201","US9255501051","NASDAQ"
"PRA","PROASSURANCE CORP","Equity","0.28","46.75","2,780,521.00","129,989,356.75","129,989,356.75","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"GTLS","CHART INDUSTRIES INC","Equity","0.28","75.56","1,701,757.00","128,584,758.92","128,584,758.92","Industrials","B19HNF4","US16115Q3083","NASDAQ"
"ROG","ROGERS CORP","Equity","0.28","127.16","1,007,867.00","128,160,367.72","128,160,367.72","Information Technology","2746700","US7751331015","New York Stock Exchange Inc."
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Equity","0.28","59.13","2,161,334.00","127,799,679.42","127,799,679.42","Information Technology","2049175","US0079731008","NASDAQ"
"DRH","DIAMONDROCK HOSPITALITY REIT","Equity","0.28","11.72","10,864,700.00","127,334,284.00","127,334,284.00","Real Estate","B090B96","US2527843013","New York Stock Exchange Inc."
"TVPT","TRAVELPORT WORLDWIDE LTD","Equity","0.28","18.20","6,925,641.00","126,046,666.20","126,046,666.20","Information Technology","BQV0M37","BMG9019D1048","New York Stock Exchange Inc."
"MNRO","MONRO INC","Equity","0.27","70.55","1,781,856.00","125,709,940.80","125,709,940.80","Consumer Discretionary","2600088","US6102361010","NASDAQ"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Equity","0.27","81.90","1,528,822.00","125,210,521.80","125,210,521.80","Industrials","2943620","US9427491025","New York Stock Exchange Inc."
