"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Dorman","DORM","2.99%","3.72%","2.57%","19.58%","-5.68%","47.73%"
"DSP Group","DSPG","-0.77%","-0.00%","9.83%","2.80%","4.05%","40.90%"
"DXP Enterprises","DXPE","0.67%","1.15%","4.49%","43.15%","21.08%","4.03%"
"Eagle Pharm","EGRX","0.61%","0.01%","10.80%","54.40%","12.03%","-8.93%"
"EastGroup Properties","EGP","-0.55%","-2.05%","0.87%","7.25%","12.55%","59.36%"
"Ebix","EBIX","0.74%","-0.12%","3.35%","3.28%","46.29%","169.15%"
"Echo Global","ECHO","1.38%","-0.84%","-8.14%","4.82%","60.38%","-10.44%"
"eHealth","EHTH","1.54%","0.29%","6.10%","40.24%","27.41%","75.50%"
"El Paso Electric","EE","0.00%","-0.08%","3.52%","8.94%","13.88%","69.38%"
"El Pollo Loco Holdings Inc","LOCO","2.17%","2.17%","6.33%","18.69%","-9.62%","-37.50%"
"Electro Scientific","ESIO","3.19%","4.48%","5.50%","-14.05%","106.50%","297.84%"
"Electronics for Imaging","EFII","-0.52%","2.46%","0.93%","17.24%","-29.73%","-20.96%"
"Emergent Biosolutions","EBS","0.55%","-0.18%","2.05%","17.77%","51.86%","59.80%"
"Employers","EIG","-0.12%","1.83%","1.71%","-5.97%","-4.79%","79.34%"
"Enanta","ENTA","1.53%","-0.21%","8.92%","114.04%","244.87%","154.05%"
"Encore Capital","ECPG","1.82%","-3.07%","-5.58%","-13.66%","-10.58%","-16.40%"
"Encore Wire","WIRE","1.24%","1.34%","-2.58%","1.03%","14.04%","16.33%"
"Engility","EGL","0.17%","-0.26%","17.64%","22.95%","18.48%","43.84%"
"Enova International Inc","ENVA","-0.40%","2.59%","2.31%","147.37%","133.54%","93.32%"
"Enpro Industries","NPO","1.04%","0.47%","-0.81%","-22.34%","-0.70%","35.13%"
"ePlus","PLUS","1.46%","2.28%","3.32%","34.38%","27.11%","155.18%"
"Era Group Inc","ERA","-0.52%","0.99%","-4.39%","23.44%","31.65%","-28.15%"
"ESCO Technologies","ESE","0.33%","-1.86%","2.28%","0.66%","-3.96%","56.27%"
"Essendant Inc","ESND","0.63%","0.56%","2.96%","54.05%","-2.59%","-62.96%"
"Ethan Allen Interiors","ETH","-0.61%","-2.81%","-3.19%","-14.28%","-22.89%","-16.12%"
"Evercore","EVR","1.78%","4.40%","-0.40%","24.00%","50.40%","94.36%"
"EW Scripps A","SSP","1.95%","-6.91%","-8.67%","-16.38%","-32.63%","-42.09%"
"ExlServices","EXLS","-0.07%","-0.11%","3.45%","1.91%","11.82%","65.41%"
"Exponent","EXPO","0.50%","0.80%","-0.40%","41.63%","52.58%","10.42%"
"Express","EXPR","-0.50%","7.97%","-3.38%","-1.28%","59.30%","-45.75%"
"Exterran Corp","EXTN","-0.76%","-0.07%","3.32%","-12.91%","-3.90%","-"
"EZCORP","EZPW","-0.85%","-4.51%","-11.07%","-4.51%","47.47%","82.60%"
"Fabrinet","FN","0.66%","1.45%","7.94%","39.20%","-12.02%","119.02%"
"FARO","FARO","0.70%","0.97%","6.80%","22.02%","46.11%","43.38%"
"Federal Signal","FSS","-0.33%","2.14%","-1.40%","18.82%","31.15%","60.42%"
"Fidelity","LION","0.50%","0.27%","-2.38%","18.72%","14.92%","38.69%"
"Fiesta","FRGI","1.86%","2.91%","11.30%","58.16%","61.56%","-41.54%"
"Financial Engines","FNGN","-0.11%","-0.00%","0.11%","48.35%","16.91%","-0.09%"
"First Bancorp","FBP","1.02%","1.14%","-0.62%","56.08%","34.01%","71.18%"
"First Commonwealth Financial","FCF","1.07%","1.58%","-1.47%","12.08%","23.37%","64.45%"
"First Financial Bancorp","FFBC","0.47%","0.32%","-3.20%","20.49%","13.80%","72.74%"
"First Financial Bankshares","FFIN","1.24%","1.53%","-2.02%","18.20%","24.56%","50.51%"
"First Midwest","FMBI","1.20%","1.83%","-2.61%","9.00%","12.27%","35.74%"
"First NBC Bank","FNBCQ","-1.89%","-0.00%","25.00%","400.00%","150.00%","-99.87%"
"FirstCash","FCFS","0.98%","0.65%","0.38%","37.44%","59.97%","114.83%"
"Five Below","FIVE","4.48%","6.68%","9.58%","61.07%","127.18%","181.85%"
"Flotek","FTK","2.39%","-1.32%","-12.02%","-35.62%","-66.18%","-75.51%"
"Forestar","FOR","0.45%","1.37%","1.37%","0.68%","29.91%","67.68%"
"Forrester","FORR","-1.28%","-3.19%","-0.82%","-3.96%","3.66%","17.75%"
"Forward Air","FWRD","1.70%","0.15%","-5.77%","3.20%","10.29%","14.75%"
"Four Corners Property Trust Inc","FCPT","0.24%","-0.88%","6.23%","-3.85%","-2.22%","-"
"Fox Factory","FOXF","0.00%","0.48%","14.64%","35.01%","38.94%","220.40%"
"Francescass","FRAN","2.14%","4.23%","3.10%","4.51%","-24.51%","-38.98%"
"Franklin Electric","FELE","0.66%","-0.65%","-0.76%","0.22%","8.36%","67.03%"
"Franklin Street Properties","FSP","-0.47%","-3.84%","2.16%","-20.76%","-20.69%","-28.79%"
"Freds","FRED","0.00%","1.84%","-3.07%","-45.43%","-67.01%","-88.02%"
"FTD Companies Inc","FTD","-3.88%","-0.89%","-20.64%","-37.97%","-77.71%","-85.27%"
