"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Saia","SAIA","76.50","77.20","76.05","+0.75","+0.99%","86.26K","16:00:01"
"Sanderson Farms","SAFM","105.62","106.04","102.04","+2.61","+2.53%","404.42K","16:00:02"
"Sanmina","SANM","29.90","30.45","29.90","-0.05","-0.17%","193.32K","16:00:01"
"Saul Centers","BFS","58.98","59.32","58.22","+0.42","+0.72%","24.36K","16:00:00"
"ScanSource","SCSC","42.50","42.85","41.20","+1.30","+3.16%","81.16K","16:00:02"
"Scholastic","SCHL","41.45","41.86","41.20","+0.35","+0.85%","69.41K","16:00:02"
"Schweitzer-Mauduit","SWM","39.91","40.21","39.73","+0.07","+0.18%","99.00K","16:00:00"
"Scientific Games","SGMS","30.65","30.85","29.10","+1.35","+4.61%","1.79M","16:00:01"
"SEACOR","CKH","51.04","51.38","50.73","+0.53","+1.05%","82.78K","16:00:00"
"Select Medical","SEM","19.12","19.38","19.05","-0.12","-0.65%","614.77K","16:00:00"
"Selective","SIGI","63.40","63.75","63.00","+0.50","+0.79%","83.50K","16:00:02"
"Semtech","SMTC","48.70","49.35","48.45","+0.20","+0.41%","279.01K","16:00:01"
"Seneca Foods A","SENEA","32.65","32.65","30.30","+2.55","+8.47%","17.63K","16:00:02"
"ServisFirst Bancshares","SFBS","43.30","43.48","42.39","+1.02","+2.41%","103.12K","16:00:01"
"Shoe Carnival","SCVL","32.78","33.15","32.23","+0.35","+1.08%","190.94K","16:00:02"
"Shutterstock","SSTK","50.96","51.93","50.59","-0.21","-0.41%","151.57K","16:00:00"
"Simmons First National","SFNC","30.70","30.90","30.30","+0.50","+1.66%","189.37K","16:00:01"
"Simpson Manufacturing","SSD","72.87","73.07","72.00","+0.74","+1.03%","135.24K","16:00:00"
"SkyWest","SKYW","61.50","62.35","60.75","+0.85","+1.40%","215.80K","16:00:02"
"Sleep Number","SL2","27.130","27.130","27.130","-1.020","-3.62%","0","02:00:00"
"Sonic","SONC","34.29","34.67","34.00","+0.13","+0.38%","599.44K","16:00:02"
"Sonic Automotive","SAH","21.27","21.50","21.00","+0.17","+0.83%","100.70K","16:00:00"
"South Jersey Industries","SJI","33.36","33.47","32.78","+0.40","+1.21%","354.56K","16:00:00"
"Southside","SBSI","35.55","35.68","35.30","+0.38","+1.08%","82.73K","16:00:02"
"SpartanNash Co","SPTN","19.52","20.61","19.25","-4.28","-17.98%","1.26M","16:00:02"
