"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Echo Global","ECHO","416.03K","821.33M","2.10B","72.79","1.47"
"eHealth","EHTH","170.08K","455.64M","136.49M","","1.37"
"El Paso Electric","EE","275.55K","2.45B","921.17M","6.21","0.4"
"El Pollo Loco Holdings Inc","LOCO","437.42K","444.31M","407.69M","96.88","0.38"
"Electro Scientific","ESIO","1.31M","608.76M","367.88M","5.67","1.01"
"Electronics for Imaging","EFII","542.66K","1.56B","1.00B","330.88","1.08"
"Emergent Biosolutions","EBS","314.78K","2.71B","561.82M","41.3","1.21"
"Employers","EIG","114.55K","1.37B","791.00M","12.51","0.96"
"Enanta","ENTA","217.99K","2.38B","165.60M","46.01","1.06"
"Encore Capital","ECPG","232.43K","925.25M","1.24B","11.45","1.4"
"Encore Wire","WIRE","70.70K","1.01B","1.18B","20","1.87"
"Engility","EGL","122.39K","1.29B","1.92B","53.47","1.82"
"Enova International Inc","ENVA","427.52K","1.28B","905.78M","36.26","2.69"
"Enpro Industries","NPO","174.73K","1.51B","1.38B","3.07","1.03"
"ePlus","PLUS","96.51K","1.36B","1.41B","26.39","1.29"
"Era Group Inc","ERA","53.71K","289.32M","234.11M","","0.88"
"ESCO Technologies","ESE","83.45K","1.57B","726.47M","30.32","1.03"
"Essendant Inc","ESND","402.41K","534.34M","5.01B","","1.22"
"Ethan Allen Interiors","ETH","224.27K","663.45M","756.13M","19.72","1.01"
"Evercore","EVR","477.77K","5.23B","1.80B","17.64","1.72"
"EW Scripps A","SSP","458.46K","1.05B","1.12B","","2.09"
"ExlServices","EXLS","135.26K","2.12B","786.25M","25.4","1.29"
"Exponent","EXPO","89.53K","2.61B","360.14M","43.91","0.62"
"Express","EXPR","2.04M","750.46M","2.15B","37.4","0.87"
"Exterran Corp","EXTN","142.84K","996.93M","1.63B","193.79",""
"EZCORP","EZPW","653.57K","639.96M","772.94M","14.44","1.46"
"Fabrinet","FN","377.81K","1.46B","1.40B","17.16","0.61"
"FARO","FARO","97.02K","965.93M","372.18M","","1.44"
"Federal Signal","FSS","249.40K","1.44B","970.40M","31.28","1.11"
"Fidelity","LION","93.74K","696.20M","149.23M","19.26","1.01"
"Fiesta","FRGI","257.10K","803.94M","663.00M","","0.56"
"Financial Engines","FNGN","478.07K","2.86B","494.24M","48.66","1.46"
"First Bancorp","FBP","1.80M","1.71B","334.98M","24","1.89"
"First Commonwealth Financial","FCF","530.19K","1.59B","180.64M","","0.97"
"First Financial Bancorp","FFBC","348.78K","3.09B","214.21M","20.85","1.07"
"First Financial Bankshares","FFIN","239.49K","3.56B","179.26M","29.46","1.12"
"First Midwest","FMBI","612.36K","2.67B","335.02M","19.79","1.12"
"First NBC Bank","FNBCQ","165.09K","1.02M","","","-1.14"
"FirstCash","FCFS","345.81K","4.17B","1.78B","34.78","0.55"
"Five Below","FIVE","1.01M","5.69B","1.34B","51.63","0.55"
"Flotek","FTK","1.20M","166.61M","297.67M","","1.4"
"Forestar","FOR","75.99K","924.75M","114.63M","","1.77"
"Forrester","FORR","49.01K","773.31M","338.23M","64.28","0.44"
"Forward Air","FWRD","239.25K","1.71B","1.40B","23.87","1.34"
"Four Corners Property Trust Inc","FCPT","347.57K","1.51B","168.01M","21",""
"Fox Factory","FOXF","214.54K","1.98B","499.09M","32.17","0.72"
"Francescass","FRAN","1.27M","269.78M","464.40M","26.21","0.11"
"Franklin Electric","FELE","128.12K","2.13B","1.20B","23.08","1.53"
"Franklin Street Properties","FSP","101.89K","916.83M","270.72M","","0.76"
"Freds","FRED","984.34K","82.34M","3.24B","","1.31"
"FTD Companies Inc","FTD","327.56K","128.80M","1.09B","","0.24"
"FutureFuel","FF","67.78K","601.45M","276.67M","9.8","1.63"
"G-III Apparel","GIII","568.12K","2.30B","2.89B","25.84","0.3"
"Gannett","GCI","1.21M","1.14B","3.10B","22.16",""
"Genesco","GCO","270.50K","794.61M","2.91B","","1.05"
"Gentherm","THRM","216.00K","1.50B","998.31M","35.14","1.66"
"Geo","GEO","787.78K","3.28B","2.28B","21.36","1.3"
"Geospace","GEOS","64.55K","200.41M","71.77M","","1.3"
"Getty","GTY","125.65K","1.12B","152.27M","23.59","0.53"
"Gibraltar Industries","ROCK","284.79K","1.24B","995.65M","23.05","1.84"
"Glacier","GBCI","338.70K","3.37B","253.77M","22.1","1.34"
"Glatfelter","GLT","181.11K","882.27M","1.62B","38.66","1.22"
"Government Propertiesome","GOV","941.46K","1.54B","355.96M","99.85","1.16"
"Great Western Bancorp Inc","GWB","227.48K","2.41B","267.59M","15.67","1.51"
"Green Dot","GDOT","374.80K","4.11B","952.15M","40.25","0.75"
"Green Plains Energy","GPRE","700.45K","653.86M","3.75B","","1.02"
"Greenbrier","GBX","480.00K","1.77B","2.44B","14.51","1.73"
"Greenhill&Co","GHL","504.44K","749.20M","269.79M","","1.16"
"Griffon","GFF","240.45K","844.05M","1.48B","450.12","1.38"
"Group 1 Automotive","GPI","239.40K","1.40B","19.17B","9.94","1.74"
"Guess?","GES","1.13M","1.88B","2.43B","48.2","0.21"
"Gulf Island Fabrication","GIFI","58.52K","145.17M","190.32M","","1.06"
"H B Fuller","FUL","371.80K","2.80B","2.74B","39.19","1.49"
"Haemonetics","HAE","746.11K","5.06B","903.92M","70.23","0.98"
"Hanmi","HAFC","177.70K","895.28M","124.60M","14.97","0.82"
"Harmonic","HLIT","565.77K","370.69M","365.42M","","0.67"
"Harsco","HSC","501.08K","1.86B","1.64B","29.07","2.7"
"Haverty Furniture","HVT","101.83K","447.89M","819.03M","17.02","0.84"
"Hawaiian","HA","1.08M","1.85B","2.75B","7.97","1.33"
"Hawkins","HWKN","31.46K","393.97M","504.16M","","0.72"
"Haynes","HAYN","103.71K","478.64M","398.65M","","1.45"
"HCI Group Inc","HCI","64.94K","390.27M","303.30M","","1.63"
"Healthcare Services","HCSG","931.78K","3.12B","1.96B","38.76","0.79"
"Healthequity Inc","HQY","603.30K","5.05B","244.01M","90.77","1.42"
"HealthStream","HSTM","130.05K","938.39M","242.65M","75.04","0.57"
"Heartland Express","HTLD","511.23K","1.51B","634.12M","36.98","0.61"
"Heidrick&Struggles","HSII","115.15K","669.89M","660.55M","","1.59"
"Helix","HLX","1.52M","1.28B","745.65M","","2.47"
"HFF","HF","310.63K","1.35B","602.29M","10.79","0.83"
"Hibbett Sports","HIBB","772.59K","456.60M","967.24M","13.2","0.81"
"HighPoint","HPR","1.79M","1.35B","283.11M","","3.34"
"Hillenbrand","HI","231.18K","3.08B","1.69B","28.58","1.26"
"HMS Holdings","HMSY","566.30K","2.01B","548.90M","68.63","0.94"
