"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"LogMeIn","LOGM","Buy","Buy","Strong Sell","Sell"
"Lsb Industries","LXU","Strong Buy","Strong Buy","Strong Buy","Neutral"
"LSC Communications","LKSD","Strong Buy","Neutral","Strong Sell","Strong Sell"
"LTC Properties","LTC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Lumber Liquidators","LL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Lumentum Holdings Inc","LITE","Sell","Strong Buy","Strong Buy","Strong Buy"
"Luminex","LMNX","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Lydall","LDL","Strong Sell","Strong Sell","Sell","Sell"
"M/I Homes","MHO","Sell","Strong Sell","Strong Sell","Sell"
"Magellan Health","MGLN","Strong Sell","Strong Sell","Strong Sell","Sell"
"Maiden Holdings","MHLD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"ManTech","MANT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Marcus","MCS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"MarineMax","HZO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Marriot Vacations Worldwide","VAC","Strong Sell","Strong Sell","Neutral","Neutral"
"Marten Transport","MRTN","Neutral","Strong Sell","Sell","Buy"
"Masimo","MASI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Materion","MTRN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Matrix","MTRX","Strong Sell","Buy","Strong Buy","Strong Buy"
"Matson","MATX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Matthews","MATW","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"MDC","MDC","Neutral","Neutral","Strong Buy","Buy"
"Medidata","MDSO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"MEDIFAST","MED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Mercury","MRCY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Meridian","VIVO","Strong Buy","Strong Buy","Strong Buy","Buy"
"Merit","MMSI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Meritage","MTH","Strong Buy","Neutral","Strong Sell","Neutral"
"Methode Electronics","MEI","Strong Buy","Neutral","Strong Sell","Neutral"
"MicroStrategy","MSTR","Strong Buy","Strong Buy","Strong Buy","Buy"
"MiMedx","MDXG","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"MKS Instruments","MKSI","Strong Buy","Neutral","Sell","Neutral"
"Mobile Mini","MINI","Strong Sell","Strong Sell","Sell","Strong Buy"
"Momenta","MNTA","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Monarch","MCRI","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Monotype","TYPE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Monro Muffler Brake","MNRO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Moog","MOGa","Sell","Neutral","Neutral","Neutral"
"Motorcar Parts","MPAA","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Movado","MOV","Neutral","Strong Sell","Neutral","Strong Buy"
"MTS Systems","MTSC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Mueller Industries","MLI","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Multi-Color","LABL","Strong Buy","Sell","Strong Sell","Strong Sell"
