"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Lexington","LXP","-1.45%","0.69%","-1.23%","-8.70%","-10.10%","0.69%"
"LGI Homes","LGIH","2.77%","9.45%","-3.47%","-24.39%","25.23%","138.66%"
"LHC Group","LHCG","0.09%","-1.81%","5.73%","50.02%","45.49%","88.53%"
"Ligand","LGND","-3.53%","6.29%","11.38%","74.03%","90.67%","148.80%"
"Lindsay","LNN","0.65%","0.11%","-8.04%","4.34%","4.77%","7.32%"
"Liquidity Services","LQDT","-4.11%","-4.76%","0.00%","44.33%","14.75%","-24.73%"
"Lithia Motors","LAD","-0.47%","1.42%","-10.36%","-22.89%","-15.18%","-25.46%"
"Littelfuse","LFUS","-1.91%","1.88%","-3.29%","13.10%","25.32%","138.67%"
"LivePerson","LPSN","-1.04%","-1.04%","9.91%","107.39%","86.33%","157.00%"
"LogMeIn","LOGM","-1.08%","-0.54%","-24.40%","-28.03%","-26.10%","15.94%"
"Lsb Industries","LXU","-0.73%","1.19%","4.62%","-22.37%","7.77%","-71.65%"
"LSC Communications","LKSD","3.99%","-2.49%","-16.51%","-22.57%","-28.82%","-"
"LTC Properties","LTC","-1.35%","0.64%","-0.80%","-2.80%","-12.36%","-1.14%"
"Lumber Liquidators","LL","-1.40%","-0.94%","-27.95%","-39.41%","-46.01%","47.90%"
"Lumentum Holdings Inc","LITE","-2.33%","5.61%","-1.40%","15.54%","6.50%","197.21%"
"Luminex","LMNX","3.18%","-25.81%","-16.73%","30.86%","34.20%","29.94%"
"Lydall","LDL","-0.12%","-3.33%","-9.67%","-19.90%","-13.51%","41.74%"
"M/I Homes","MHO","-0.38%","1.39%","-3.21%","-23.81%","3.84%","6.89%"
"Magellan Health","MGLN","0.67%","-0.46%","-23.73%","-21.75%","-2.26%","26.97%"
"Maiden Holdings","MHLD","1.35%","-12.79%","-6.25%","13.64%","3.45%","-54.43%"
"ManTech","MANT","-0.59%","-0.30%","8.80%","25.12%","58.15%","112.38%"
"Marcus","MCS","0.13%","2.24%","15.45%","42.05%","49.14%","93.86%"
"MarineMax","HZO","-1.04%","-0.26%","-7.30%","0.79%","27.00%","15.88%"
"Marriot Vacations Worldwide","VAC","-2.55%","-3.66%","-0.36%","-12.82%","7.76%","45.99%"
"Marten Transport","MRTN","0.00%","0.67%","-3.66%","10.34%","40.00%","96.66%"
"Masimo","MASI","0.49%","0.37%","9.97%","28.14%","32.45%","165.41%"
"Materion","MTRN","0.16%","1.02%","15.19%","32.61%","70.73%","101.60%"
"Matrix","MTRX","-0.25%","-0.74%","-0.49%","13.20%","98.52%","-1.95%"
"Matson","MATX","-1.16%","-1.38%","-7.98%","19.44%","21.27%","-12.37%"
"Matthews","MATW","0.00%","-2.08%","-13.59%","-1.89%","-18.62%","-3.20%"
"MDC","MDC","0.81%","2.04%","-0.80%","-2.60%","3.12%","11.61%"
"Medidata","MDSO","-0.21%","1.71%","-7.14%","22.06%","6.38%","48.35%"
"MEDIFAST","MED","2.50%","16.48%","23.20%","192.02%","309.77%","613.80%"
"Mercury","MRCY","-0.94%","-3.06%","19.45%","-5.76%","5.93%","221.10%"
"Meridian","VIVO","-1.32%","-2.61%","-6.27%","6.79%","11.15%","-20.35%"
"Merit","MMSI","-1.27%","-1.80%","-1.62%","26.16%","36.93%","112.56%"
"Meritage","MTH","-0.35%","0.23%","-6.82%","-15.92%","1.41%","-0.35%"
"Methode Electronics","MEI","-0.38%","1.15%","-2.58%","-1.12%","4.34%","45.61%"
"MicroStrategy","MSTR","0.08%","1.04%","2.26%","5.08%","8.01%","-36.96%"
"MiMedx","MDXG","-2.92%","2.37%","33.75%","-65.74%","-70.47%","-53.90%"
"MKS Instruments","MKSI","0.90%","0.42%","-3.80%","0.42%","22.93%","163.32%"
"Mobile Mini","MINI","1.92%","4.15%","-7.76%","30.87%","45.41%","26.97%"
"Momenta","MNTA","-3.77%","-1.75%","21.12%","101.43%","73.46%","25.00%"
"Monarch","MCRI","-0.23%","-0.61%","1.72%","5.60%","36.44%","151.49%"
"Monotype","TYPE","0.24%","2.70%","1.46%","-13.28%","10.58%","-13.21%"
"Monro Muffler Brake","MNRO","-0.21%","1.01%","13.88%","23.18%","50.86%","6.90%"
"Moog","MOGa","0.67%","2.28%","-3.69%","-13.13%","0.47%","14.68%"
"Motorcar Parts","MPAA","0.74%","3.69%","4.34%","-12.36%","-19.43%","-33.78%"
"Movado","MOV","-0.10%","0.70%","1.21%","55.59%","103.66%","99.76%"
"MTS Systems","MTSC","1.37%","-3.97%","-4.59%","-3.26%","8.34%","-18.29%"
"Mueller Industries","MLI","-0.80%","-1.44%","6.02%","-9.03%","7.83%","-0.89%"
"Multi-Color","LABL","-0.62%","-2.00%","-4.79%","-15.03%","-15.65%","-10.30%"
"Myers Industries","MYE","-0.92%","-1.37%","12.53%","10.51%","21.75%","43.86%"
"MYR Group","MYRG","0.55%","-7.47%","-4.86%","1.93%","46.15%","24.68%"
"Nanometrics","NANO","0.29%","1.68%","13.45%","67.90%","68.71%","182.89%"
"National Presto Industries","NPK","0.16%","-0.67%","3.09%","25.99%","15.11%","55.90%"
"Natus","BABY","-1.81%","-4.59%","0.14%","-7.59%","6.65%","-21.26%"
"Nautilus","NLS","-0.36%","-1.08%","-8.33%","3.00%","-19.83%","-21.07%"
"Navigant","NCI","-1.44%","-0.40%","8.92%","27.10%","61.66%","57.94%"
"NBT Bancorp","NBTB","0.53%","-2.22%","0.87%","7.47%","16.46%","45.94%"
"Neenah Paper","NP","1.02%","0.45%","2.47%","-1.43%","17.10%","44.30%"
"Nektar","NKTR","2.45%","3.06%","18.76%","-6.30%","211.75%","388.31%"
"Neogen","NEOG","0.08%","0.98%","0.05%","35.57%","65.52%","45.86%"
"NETGEAR","NTGR","2.87%","5.50%","-4.89%","15.83%","50.22%","103.74%"
"Newpark Resources","NR","0.48%","-0.94%","-0.47%","22.67%","30.25%","43.54%"
"NIC","EGOV","0.62%","-1.81%","-0.61%","-1.81%","1.56%","-16.96%"
"Northern Oil&Gas","NOG","-1.78%","-8.31%","-9.56%","61.46%","238.79%","-39.93%"
"Northfield Bancorp","NFBK","0.74%","-2.22%","-4.96%","-4.74%","1.24%","6.69%"
"Northwest Bancshares","NWBI","0.96%","-0.83%","0.34%","7.29%","14.55%","40.67%"
"Northwest Natural Gas","NWN","-0.87%","-3.32%","-2.95%","4.95%","-4.21%","43.05%"
"NutriSystem","NTRI","-0.36%","6.09%","7.46%","-20.53%","-23.72%","40.27%"
"OFG Bancorp","OFG","0.30%","-2.63%","12.50%","77.13%","77.13%","104.80%"
"Old National Bancorp","ONB","0.51%","-0.51%","3.17%","12.03%","18.84%","31.74%"
"Ollies Bargain Outlet Holdings Inc","OLLI","0.35%","1.80%","-5.98%","32.77%","62.72%","269.58%"
"Olympic Steel","ZEUS","-2.62%","6.32%","6.41%","8.84%","30.89%","80.20%"
"Omnicell","OMCL","1.51%","7.78%","16.67%","31.34%","30.00%","75.92%"
"Onespan","OSPN","0.59%","-2.28%","-15.93%","23.38%","35.57%","-12.99%"
"Opus Bank","OPB","0.53%","-0.35%","-5.63%","4.40%","23.91%","-26.85%"
"Orion Group","ORN","-0.54%","0.44%","6.51%","16.99%","56.31%","25.82%"
"Oritani","ORIT","1.90%","0.00%","-2.13%","-2.13%","-0.93%","5.04%"
"OSI Systems","OSIS","0.04%","0.95%","2.32%","24.14%","-0.84%","16.10%"
"Oxford Industries","OXM","0.59%","0.10%","8.16%","23.42%","53.36%","7.88%"
"Papa John's","PZZA","-5.19%","-8.07%","-23.33%","-30.60%","-49.99%","-45.40%"
"Park Electrochemical","PKE","0.90%","-1.41%","-5.44%","14.20%","27.65%","24.67%"
"Patrick","PATK","0.25%","3.15%","4.13%","-12.89%","26.49%","61.59%"
"PDC Energy","PDCE","0.62%","-14.12%","-12.61%","6.79%","36.34%","5.50%"
"Pennsylvania RE","PEI","-0.49%","-5.09%","-11.52%","-15.39%","-10.58%","-52.48%"
"Perficient","PRFT","-1.12%","2.77%","2.74%","43.79%","57.68%","65.48%"
"Perry Ellis","PERY","-0.24%","4.79%","1.46%","16.29%","55.56%","23.55%"
"PetMed Express","PETS","-0.50%","-0.05%","3.66%","-17.21%","-19.13%","120.68%"
"PGT Innovations","PGTI","-3.52%","1.02%","16.00%","46.29%","91.09%","86.60%"
"Phibro","PAHC","-1.88%","1.12%","6.44%","48.06%","26.21%","24.47%"
"Pinnacle","PNFP","1.10%","0.63%","1.74%","-3.24%","5.16%","21.20%"
"Pioneer Energy Services","PES","-1.52%","1.56%","-44.44%","6.56%","54.76%","-13.10%"
"Piper Jaffray","PJC","-0.07%","-0.84%","-1.60%","-10.90%","34.35%","70.02%"
"Plexus","PLXS","-0.11%","1.50%","-2.74%","1.19%","20.52%","58.02%"
"Powell Industries","POWL","5.92%","9.06%","10.54%","39.90%","24.43%","48.22%"
"Power Integrations","POWI","0.55%","1.95%","-5.36%","-0.41%","6.55%","83.12%"
"PRA Group Inc","PRAA","-8.82%","-7.30%","-15.22%","9.04%","9.04%","-43.41%"
"ProAssurance","PRA","5.45%","8.40%","20.11%","-22.13%","-19.16%","-6.49%"
"Progress","PRGS","0.00%","2.29%","0.10%","-9.68%","22.37%","29.59%"
"Proto Labs","PRLB","0.50%","4.18%","1.51%","26.94%","83.90%","77.29%"
"Provident","PFS","0.92%","-1.56%","-9.19%","-6.19%","1.89%","28.88%"
"PS Business Parks","PSB","-0.24%","0.26%","-1.18%","2.71%","-2.49%","68.41%"
"Quaker Chemical","KWR","1.10%","-0.84%","4.13%","11.64%","24.25%","83.46%"
"Quality Systems","QSII","-0.51%","1.71%","7.33%","57.36%","40.59%","68.67%"
"Qualys","QLYS","0.23%","2.44%","-0.95%","48.69%","102.41%","160.40%"
"Quanex Building Products","NX","-0.88%","-0.00%","-5.87%","-27.99%","-16.17%","-15.54%"
"QuinStreet","QNST","1.08%","-9.70%","-7.87%","56.56%","224.75%","133.87%"
"Quorum Health","QHC","0.00%","-12.28%","-22.33%","-35.90%","12.04%","-"
"Rambus","RMBS","0.39%","1.03%","-2.00%","-10.34%","1.03%","-8.60%"
"Raven","RAVN","0.13%","1.04%","-2.02%","13.10%","15.11%","103.83%"
"Rayonier Advanced Materials","RYAM","0.84%","14.35%","14.61%","0.15%","54.68%","49.27%"
"Re Max Holding","RMAX","0.81%","2.35%","-10.70%","3.20%","-17.82%","30.34%"
"Red Robin Gourmet Burgers","RRGB","2.96%","3.46%","-21.03%","-32.09%","-35.14%","-56.63%"
"Regis","RGS","0.00%","-0.06%","3.15%","15.30%","68.51%","20.80%"
"Rent-A-Center","RCII","-0.27%","-0.34%","-0.41%","32.88%","13.81%","-44.84%"
"Repligen","RGEN","-0.51%","3.13%","1.77%","34.40%","18.72%","31.39%"
"Resources Connection","RECN","0.62%","0.31%","-4.96%","5.50%","24.43%","-1.33%"
"Retail Opportunity","ROIC","-0.52%","0.00%","-1.35%","-4.76%","-5.80%","14.46%"
"REX American Resources","REX","-0.47%","2.30%","0.10%","-5.34%","-18.55%","54.64%"
"RLI","RLI","-0.16%","-0.34%","10.17%","24.15%","35.47%","39.54%"
"Roadrunner","RRTS","-12.20%","-15.49%","-33.33%","-76.65%","-73.21%","-92.68%"
"Rogers","ROG","-1.45%","3.32%","7.26%","-18.86%","11.31%","122.79%"
"RR Donnelley & Sons","RRD","7.30%","3.31%","-11.50%","-46.24%","-45.47%","-81.62%"
"Rudolph","RTEC","1.45%","-4.27%","-7.88%","17.36%","30.47%","108.09%"
"Ruth's Hospitality","RUTH","1.05%","0.87%","1.58%","33.49%","47.45%","72.54%"
"S&T Bancorp","STBA","0.65%","0.18%","0.76%","13.14%","26.06%","44.68%"
"Sabra","SBRA","-0.89%","2.45%","-1.51%","18.06%","1.09%","-14.67%"
"Safety Insurance","SAFT","1.30%","-0.27%","7.10%","16.29%","31.78%","71.34%"
"Saia","SAIA","0.66%","-0.46%","-3.97%","7.56%","43.72%","79.14%"
"Sanderson Farms","SAFM","-2.52%","0.76%","-4.20%","-27.39%","-27.96%","37.85%"
"Sanmina","SANM","0.16%","3.56%","-2.55%","-7.42%","-13.94%","42.89%"
"Saul Centers","BFS","0.53%","3.00%","-0.13%","-11.14%","-9.10%","7.19%"
"ScanSource","SCSC","-0.49%","1.11%","-0.85%","14.39%","8.05%","9.14%"
"Scholastic","SCHL","1.45%","0.19%","-12.78%","2.79%","3.05%","-4.89%"
"Schweitzer-Mauduit","SWM","-1.72%","-7.86%","-8.26%","-10.34%","6.58%","8.25%"
"Scientific Games","SGMS","-4.16%","-15.55%","-33.60%","-34.89%","-4.16%","174.22%"
"SEACOR","CKH","-0.79%","-0.45%","-6.42%","11.27%","40.21%","-20.88%"
"Select Medical","SEM","-1.28%","-8.94%","3.20%","9.63%","13.82%","31.72%"
"Selective","SIGI","0.00%","-2.79%","5.90%","4.00%","19.35%","94.92%"
"Semtech","SMTC","2.39%","5.76%","3.94%","50.44%","36.29%","192.33%"
"Seneca Foods A","SENEA","0.52%","2.47%","0.87%","-5.53%","-1.02%","-4.66%"
"ServisFirst Bancshares","SFBS","0.93%","-1.37%","-2.10%","2.46%","24.55%","114.86%"
"Shoe Carnival","SCVL","0.41%","-0.87%","-3.52%","18.84%","90.02%","12.25%"
"Shutterstock","SSTK","0.59%","11.29%","7.77%","23.47%","61.20%","56.13%"
"Simmons First National","SFNC","0.50%","-0.65%","-0.33%","6.30%","17.05%","-33.30%"
"Simpson Manufacturing","SSD","-1.03%","-0.97%","14.16%","26.79%","65.92%","101.58%"
"SkyWest","SKYW","0.08%","2.02%","11.59%","14.22%","58.56%","250.78%"
"Sleep Number","SL2","3.12%","8.11%","-1.14%","-15.93%","-7.05%","10.03%"
"Sonic","SONC","1.71%","-5.05%","-2.75%","23.73%","42.68%","17.36%"
"Sonic Automotive","SAH","-1.16%","5.46%","4.42%","15.18%","26.11%","-5.64%"
"South Jersey Industries","SJI","0.56%","0.59%","-1.10%","9.19%","-5.67%","38.11%"
"Southside","SBSI","0.86%","0.54%","2.08%","4.96%","7.25%","38.14%"
"SpartanNash Co","SPTN","1.14%","2.04%","-7.98%","-10.08%","-8.01%","-26.64%"
"Spectrum","SPPI","-0.71%","0.96%","-7.24%","10.82%","140.00%","184.17%"
"Spire","SR","0.40%","4.70%","2.47%","-0.73%","-1.91%","39.00%"
"Spok Holdings","SPOK","-1.99%","0.68%","-4.21%","-5.43%","-11.38%","-9.76%"
"SPS Commerce","SPSC","-0.97%","3.35%","20.33%","87.57%","60.18%","23.55%"
"SPX Corp","SPXC","-2.13%","-2.53%","-2.53%","14.11%","38.35%","112.20%"
"SPX FLOW Inc","FLOW","-0.67%","4.99%","5.30%","-0.93%","41.43%","-"
"Stage Stores","SSI","7.31%","9.30%","2.17%","39.88%","39.05%","-86.91%"
"Stampscom","STMP","-3.15%","-8.91%","-5.62%","35.72%","24.25%","202.31%"
"Standard Motor Products","SMP","0.00%","-0.92%","-2.50%","5.88%","4.46%","30.38%"
"Standex","SXI","0.50%","2.42%","1.34%","3.98%","14.86%","45.33%"
"Stein Mart","SMRT","2.28%","-0.44%","2.28%","93.10%","72.31%","-78.04%"
"Stepan","SCL","0.08%","0.20%","10.36%","12.25%","12.25%","81.19%"
"Sterling Bancorp","STL","1.13%","-0.44%","-5.88%","-8.94%","0.90%","51.86%"
"Steven Madden","SHOO","-0.09%","-0.54%","2.86%","19.27%","31.21%","40.02%"
"Stewart Info Services","STC","-0.78%","-0.42%","1.73%","5.91%","18.02%","11.36%"
"Strategic Education","STRA","-0.59%","-2.08%","3.82%","38.19%","56.30%","120.97%"
"Sturm Ruger&Company","RGR","0.09%","-0.18%","-3.10%","0.63%","10.96%","-11.59%"
"Summit Hotel Properties","INN","-1.17%","-5.21%","-6.59%","-11.62%","-13.33%","7.77%"
"SunCoke Energy","SXC","-1.37%","3.23%","-11.27%","-4.17%","35.66%","-5.28%"
"Super Micro Computer","SMCI","-2.96%","-9.45%","-20.12%","-6.12%","-25.99%","-27.70%"
"Superior Industries","SUP","14.36%","18.30%","22.19%","50.17%","44.34%","12.06%"
"Supernus","SUPN","-8.72%","-10.31%","-7.59%","22.21%","20.69%","172.98%"
"Supervalu","SVU","0.31%","0.65%","51.03%","49.77%","42.89%","-49.33%"
"SurModics","SRDX","2.73%","13.57%","16.30%","142.14%","176.73%","182.50%"
"Sykes","SYKE","0.31%","-0.10%","-3.92%","-6.58%","11.67%","15.90%"
"Synchronoss Tech","SNCR","-1.69%","-1.21%","-36.80%","-54.47%","-75.50%","-91.56%"
"Synergy Resources","SRCI","-0.10%","-14.31%","-15.26%","16.53%","20.63%","-5.15%"
"Tailored Brands","TLRD","1.79%","4.30%","-13.85%","-1.10%","89.55%","-62.12%"
"Take-Two","TTWO","2.24%","10.34%","3.14%","13.82%","41.47%","303.85%"
"Team","TISI","-0.87%","3.64%","-3.81%","52.68%","112.62%","-51.06%"
"Tennant","TNC","-1.80%","-3.24%","-0.06%","8.95%","27.05%","28.47%"
"Tetra Tech","TTEK","-0.43%","4.24%","13.60%","43.09%","68.87%","156.32%"
"Tetra Technologies","TTI","-5.01%","-3.70%","-13.13%","-2.34%","103.41%","-39.30%"
"Texas Capital","TCBI","1.04%","0.22%","-0.59%","3.82%","23.23%","55.89%"
"The Andersons","ANDE","12.96%","15.06%","12.01%","28.73%","21.52%","5.44%"
"The Childrens Place","PLCE","0.43%","2.92%","8.44%","-11.59%","19.98%","117.46%"
"The Ensign","ENSG","0.06%","-2.78%","-5.81%","62.16%","83.21%","49.94%"
"The Medicines","MDCO","0.05%","-0.71%","0.62%","42.32%","8.38%","30.35%"
"The Navigators","NAVG","0.52%","-2.82%","1.21%","20.12%","4.65%","51.05%"
"The Providence Service","PRSC","-9.71%","-9.74%","-12.73%","11.16%","33.90%","42.68%"
"Tidewater","TDW","1.79%","3.41%","3.67%","35.53%","35.87%","-94.47%"
"Tile Shop","TTS","3.12%","1.85%","-1.20%","-14.06%","-45.00%","-38.29%"
"Timkensteel Corp","TMST","-4.27%","2.93%","-22.58%","-9.94%","-14.45%","-30.59%"
"Titan","TWI","0.69%","-27.67%","-32.22%","-43.17%","-24.85%","-24.22%"
"Tivity Health","TVTY","-2.02%","0.29%","-5.29%","-6.98%","-8.85%","165.62%"
"TiVo","TIVO","0.83%","4.29%","-7.95%","-22.12%","-33.24%","6.30%"
"Tompkins","TMP","-0.81%","-1.81%","-4.41%","4.81%","11.20%","59.07%"
"Topbuild Corp","BLD","-5.92%","2.28%","-5.41%","-0.33%","30.20%","160.58%"
"Tredegar","TG","0.88%","11.65%","-5.74%","19.79%","37.72%","39.31%"
"Trex","TREX","-1.82%","-2.06%","16.77%","43.51%","105.12%","85.46%"
"TrueBlue","TBI","0.00%","4.42%","3.09%","3.09%","41.40%","13.76%"
"TrustCo Bank NY","TRST","1.10%","0.00%","1.66%","0.00%","17.95%","49.59%"
"TTEC","TTEC","-19.97%","-19.48%","-26.47%","-34.78%","-36.29%","-7.15%"
"TTM","TTMI","1.69%","-1.34%","3.78%","22.59%","43.90%","130.89%"
"Tuesday Morning","TUES","-1.69%","-1.69%","5.45%","5.45%","52.63%","-70.47%"
"U S Concrete","USCR","4.44%","7.58%","0.58%","-38.08%","-31.57%","-4.36%"
"UMB Financial","UMBF","0.70%","0.55%","-3.88%","4.03%","10.48%","35.23%"
"Unifi","UFI","2.49%","1.76%","-0.79%","-9.51%","5.32%","5.18%"
"Unifirst","UNF","0.69%","0.77%","2.61%","15.74%","37.85%","65.81%"
"Unit","UNT","-1.87%","-1.17%","-14.50%","7.50%","39.94%","36.08%"
"United Bankshares","UBSI","0.92%","-0.00%","2.12%","10.65%","18.86%","-4.99%"
"United Community Banks","UCBI","0.68%","-0.51%","-0.61%","10.34%","19.33%","47.65%"
"United Fire","UFCS","-10.01%","-12.84%","-9.77%","10.82%","14.82%","38.42%"
"United Insurances","UIHC","-0.14%","-1.04%","6.26%","21.10%","29.51%","47.42%"
"Universal","UVV","-13.75%","-14.07%","-15.73%","11.71%","3.26%","17.96%"
"Universal Electronics","UEIC","0.12%","20.93%","26.06%","-8.89%","-27.28%","-10.94%"
"Universal Forest","UFPI","-0.46%","0.60%","-3.20%","-2.66%","35.63%","-42.48%"
"Universal Health RI","UHT","-1.16%","0.60%","2.65%","-9.09%","-8.09%","42.49%"
"Universal Insurance","UVE","1.03%","-2.10%","25.11%","62.16%","94.09%","51.57%"
"Urstadt Biddle Properties","UBA","-0.14%","-0.95%","-2.18%","1.24%","3.53%","17.70%"
"US Ecology","ECOL","-2.07%","-2.49%","3.94%","34.51%","41.30%","36.60%"
"US Physicalrapy","USPH","-0.71%","-3.66%","13.60%","54.99%","80.19%","117.45%"
"US Silica","SLCA","1.08%","-1.71%","-6.41%","-22.48%","-0.86%","2.39%"
"Veeco","VECO","0.85%","-0.67%","-25.55%","-20.54%","-42.30%","-51.24%"
"Vera Bradley","VRA","1.83%","6.11%","-1.91%","14.12%","38.86%","26.02%"
"Veritiv Cor","VRTV","0.64%","3.80%","-1.86%","37.02%","38.46%","7.90%"
"Viad","VVI","1.84%","2.10%","2.10%","5.14%","11.91%","102.54%"
"Viavi Solutions","VIAV","-0.76%","3.27%","0.29%","19.34%","-0.95%","67.95%"
"Vicor","VICR","2.78%","3.97%","28.27%","200.72%","261.21%","468.26%"
"Virtus","VRTS","0.68%","4.08%","-0.23%","15.43%","19.32%","5.93%"
"Virtusa","VRTU","-2.31%","-0.81%","1.42%","20.17%","51.26%","5.73%"
"Vitamin Shoppe","VSI","32.10%","26.63%","51.77%","143.18%","78.33%","-71.62%"
"Wabash National","WNC","0.32%","-0.69%","-5.12%","-13.78%","-9.04%","36.57%"
"WageWorks","WAGE","1.17%","3.49%","9.31%","-9.11%","-2.00%","16.26%"
"Walker&Dunlop","WD","0.67%","-1.72%","-5.34%","14.17%","17.28%","127.95%"
"Watts Water Technologies","WTS","-0.06%","-1.45%","2.90%","12.05%","32.86%","49.48%"
"WD-40","WDFC","-0.48%","2.89%","8.13%","40.25%","57.54%","84.36%"
"Westamerica Bancorporation","WABC","2.15%","2.66%","7.07%","6.10%","22.30%","26.82%"
"Winnebago Industries","WGO","0.00%","2.57%","-5.56%","-28.15%","17.67%","79.39%"
"Wintrust","WTFC","1.04%","0.58%","1.36%","9.19%","23.21%","66.09%"
"Wolverine","WWW","2.36%","1.01%","8.45%","15.59%","42.06%","25.98%"
"World Acceptance","WRLD","1.54%","4.94%","-3.44%","37.41%","47.48%","114.13%"
"WWE","WWE","-0.05%","0.43%","5.56%","158.80%","271.72%","272.25%"
"XO","XOXO","-0.98%","-0.00%","-12.10%","58.13%","58.56%","83.01%"
"Xperi","XPER","-0.31%","0.31%","-6.59%","-33.20%","-35.83%","-55.35%"
"Zumiez","ZUMZ","1.81%","8.35%","5.64%","21.52%","108.23%","7.66%"
