S&P Small-Cap 600 ETF (VIOO)
Holding details,06/30/2018

Equity holdings
,SEDOL,Ticker,Holding name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type,
,="2718594","DORM      ","DORMAN PRODUCTS","68,739","$4,695,561.00","0.25000","Auto Parts & Equipment","US  ",-,
,="B92RRW2","SANM      ","SANMINA CORP","159,091","$4,661,366.00","0.24800","Electronic Manufacturing Services","US  ",-,
,="2106791","PLCE      ","CHILDREN'S PLACE","38,540","$4,655,632.00","0.24800","Apparel Retail","US  ",-,
,="B7GGNT0","SLCA      ","US SILICA HOLDIN","180,824","$4,645,369.00","0.24700","Oil & Gas Equipment & Services","US  ",-,
,="B034L49","BGS       ","B&G FOODS INC","154,381","$4,615,992.00","0.24600","Packaged Foods & Meats","US  ",-,
,="B6WG4R2","WAGE      ","WAGEWORKS","91,917","$4,595,850.00","0.24500","Human Resource & Employment Services","US  ",-,
,="2688363","NTGR      ","NETGEAR INC","73,107","$4,569,188.00","0.24300","Communications Equipment","US  ",-,
,="2692160","PLXS      ","PLEXUS CORP","76,462","$4,552,547.00","0.24300","Electronic Manufacturing Services","US  ",-,
,="2483223","KAMN      ","KAMAN CORP","65,299","$4,550,687.00","0.24200","Trading Companies & Distributors","US  ",-,
,="2982924","SPPI      ","SPECTRUM PHARMAC","217,093","$4,550,269.00","0.24200","Biotechnology","US  ",-,
,="B4MF0Q6","SEM       ","SELECT MEDICAL","249,223","$4,523,397.00","0.24100","Health Care Facilities","US  ",-,
,="B07LST0","EXLS      ","EXLSERVICE HOLDI","79,676","$4,510,458.00","0.24000","Data Processing & Outsourced Services","US  ",-,
,="2346003","BANR      ","BANNER CORPORATI","74,878","$4,502,414.00","0.24000","Regional Banks","US  ",-,
,="2418474","DNR       ","DENBURY RESOURCE","933,002","$4,487,740.00","0.23900","Oil & Gas Exploration & Production","US  ",-,
,="2724472","OIS       ","OIL STATES INTL","139,301","$4,471,562.00","0.23800","Oil & Gas Equipment & Services","US  ",-,
,="BZ0G875","RGNX      ","REGENXBIO INC","62,176","$4,461,128.00","0.23800","Biotechnology","US  ",-,
,="2024901","ABM       ","ABM INDUSTRIES","152,400","$4,447,032.00","0.23700","Environmental & Facilities Services","US  ",-,
,="2612737","PRA       ","PROASSURANCE COR","125,219","$4,439,014.00","0.23600","Property & Casualty Insurance","US  ",-,
,="B4TC8L1","CHSP      ","CHESAPEAKE LODGI","140,258","$4,437,763.00","0.23600","Hotel & Resort REITs","US  ",-,
,="B19HNF4","GTLS      ","CHART INDUSTRIES","71,846","$4,431,461.00","0.23600","Industrial Machinery","US  ",-,
,="2600088","MNRO      ","MONRO INC","76,091","$4,420,887.00","0.23600","Automotive Retail","US  ",-,
,="2011550","ABAX      ","ABAXIS INC","52,957","$4,395,961.00","0.23400","Health Care Equipment","US  ",-,
,="BJ3V905","ENDP      ","ENDO INTERNATION","466,145","$4,395,747.00","0.23400","Pharmaceuticals","US  ",-,
,="2568090","MATW      ","MATTHEWS INTL-A","74,439","$4,377,013.00","0.23300","Diversified Support Services","US  ",-,
,="2139151","LXP       ","LEXINGTON REALTY","501,229","$4,375,729.00","0.23300","Diversified REITs","US  ",-,
,="B8SW166","PLAY      ","DAVE & BUSTER'S","91,926","$4,375,678.00","0.23300","Restaurants","US  ",-,
