Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
HAYN,"Haynes Intl Inc",38.51,-0.38,-0.98%,38.77,37.78,135900,07/19/18
HCI,"Homeowners Choice",42.32,0.1,+0.24%,42.55,42.11,26900,07/19/18
HF,"HFF Inc",35.51,0.49,+1.40%,35.64,34.86,225500,07/19/18
HI,"Hillenbrand Inc",49.5,0.2,+0.41%,49.6,48.95,128600,07/19/18
HIBB,"Hibbett Sports Inc",24.55,0.45,+1.87%,24.85,24.05,382600,07/19/18
HLIT,"Harmonic Inc",4.38,0.03,+0.57%,4.45,4.3,180700,07/19/18
HLX,"Helix Energy Solutions Group",8.61,-0.02,-0.23%,8.74,8.56,804100,07/19/18
HMN,"Horace Mann Educators Corp",45.3,-0.4,-0.88%,46,45.2,162400,07/19/18
HMST,"Homestreet Inc",28.7,0.25,+0.88%,28.75,28.2,98100,07/19/18
HMSY,"Hms Hldgs Cp",24.46,0.37,+1.54%,24.47,23,373300,07/19/18
HOPE,"Hope Bancorp Inc",17.21,0.27,+1.59%,17.24,16.75,1229600,07/19/18
HPR,"Highpoint Resources Corp.",6.66,0.11,+1.68%,6.7,6.47,2180300,07/19/18
HQY,Healthequity,81.98,0.47,+0.58%,82.21,80.93,360100,07/19/18
HSC,"Harsco Corp",23.6,0.2,+0.85%,23.7,22.85,353600,07/19/18
HSII,"Heidrick & Struggl",35.35,-0.95,-2.62%,36.15,35.1,69900,07/19/18
HSKA,"Heska Corp",109.32,1.7,+1.58%,109.93,105.88,24200,07/19/18
HSTM,"Healthstream Inc",29.1,0.32,+1.11%,29.22,28.69,81200,07/19/18
HT,"Hersha Hospitality Trust",22.27,0.3,+1.37%,22.34,21.92,249400,07/19/18
HTLD,"Heartland Express",19.93,1.42,+7.67%,20.05,18.4,755200,07/19/18
HUBG,"Hub Group Inc A",49.95,0.35,+0.71%,50.1,49.15,187300,07/19/18
HVT,"Haverty Furniture Companies",21.1,0,unch,21.23,21,213900,07/19/18
HWKN,"Hawkins Inc",36.8,0.15,+0.41%,36.95,36.6,13400,07/19/18
HZO,"Marinemax Inc",21.25,0.15,+0.71%,21.65,21,304200,07/19/18
IBP,"Installed Building Products I",59.35,1.75,+3.04%,59.55,57.15,260800,07/19/18
IIIN,"Insteel Industries",40.05,6.13,+18.07%,40.35,35.47,587100,07/19/18
IIVI,"I I V I Inc",44.95,0.05,+0.11%,45.4,44.75,338900,07/19/18
INDB,"Independent Bk Corp",81.65,1.6,+2.00%,84.9,79.65,93900,07/19/18
INGN,"Inogen Inc",213.49,0.33,+0.15%,214.72,211.87,185500,07/19/18
INN,"Summit Hotel Properties",14.24,0.22,+1.57%,14.27,13.96,359000,07/19/18
INTL,"Intl Fcstone Inc",54.83,-0.65,-1.17%,55.7,54.41,134800,07/19/18
INVA,"Innoviva Inc",14.28,0.17,+1.20%,14.36,13.94,625000,07/19/18
IOSP,"Innospec Inc",82.5,0,unch,83.05,81.9,82800,07/19/18
IPAR,"Inter Parfums Inc",56.45,0.8,+1.44%,56.55,55.2,66900,07/19/18
IPHS,"Innophos Hldngs Inc",50.12,0.19,+0.38%,50.26,49.54,79800,07/19/18
IRBT,"Irobot Corp",77.89,-0.79,-1.00%,79.7,77.82,520800,07/19/18
IRDM,"Iridium Comm Inc",18.25,0.35,+1.96%,18.3,17.95,882900,07/19/18
IRT,"Independence Realty Trust Inc",10.11,0.14,+1.40%,10.18,9.94,367700,07/19/18
ITG,"Investment Technology Group",22.34,-0.27,-1.19%,22.46,22.21,80000,07/19/18
ITGR,"Integer Holdings Corp",72.45,0,unch,72.85,72.15,255900,07/19/18
ITRI,"Itron Inc",60.5,0.9,+1.51%,60.9,59.45,304900,07/19/18
IVC,"Invacare Corp",18.05,0.45,+2.56%,18.2,17.5,435700,07/19/18
IVR,"Invesco Mortgage Capital Inc",16.11,0.15,+0.94%,16.18,15.95,541100,07/19/18
JBSS,"John B Sanfilippo",77.29,0.67,+0.87%,77.82,76.5,46500,07/19/18
JBT,"John Bean Technologies Corp",94.8,0.7,+0.74%,94.8,92.25,212200,07/19/18
JCP,"J.C. Penney Company Inc",2.56,0.11,+4.49%,2.66,2.43,29465500,07/19/18
JJSF,"J J Snack Foods",155.44,1.34,+0.87%,155.95,153.51,54600,07/19/18
JRVR,"James River Gp HD",39.71,0,unch,39.84,39.49,69600,07/19/18
KALU,"Kaiser Aluminum",108.46,-0.78,-0.71%,110.76,107.21,138200,07/19/18
KAMN,"Kaman Corp",68.28,0.5,+0.74%,68.72,67.49,117000,07/19/18
KELYA,"Kelly Svcs Cl A",23.21,-0.16,-0.68%,23.35,23.08,122500,07/19/18
KEM,"Kemet Corp",29.39,-0.23,-0.78%,29.85,29.19,1457500,07/19/18
KFY,"Korn/Ferry International",65.77,-0.13,-0.20%,66.03,65.35,352300,07/19/18
KIRK,"Kirkland's Inc",11.6,0.15,+1.31%,11.8,11.43,65600,07/19/18
KLIC,"Kulicke and Soffa",28.03,-0.28,-0.99%,28.39,27.76,669300,07/19/18
KN,"Knowles Corp",16.21,0.21,+1.31%,16.23,15.9,381700,07/19/18
KOP,"Koppers Holdings Inc",39.2,0.35,+0.90%,39.3,38.3,57900,07/19/18
KOPN,"Kopin Cp",3.11,0.08,+2.64%,3.13,3.01,276400,07/19/18
KRA,"Kraton Performance Polymers Inc",49.13,0,unch,49.34,48.29,150200,07/19/18
KRG,"Kite Realty Group Trust",16.88,0.31,+1.87%,17,16.46,335200,07/19/18
KS,"Kapstone Paper and Packaging Corp",34.82,0.04,+0.12%,34.85,34.74,493000,07/19/18
KWR,"Quaker Chemical Corp",162.75,3.34,+2.10%,162.9,159.05,51700,07/19/18
LABL,"Multi Color Cp",65.25,0,unch,65.55,64.35,84000,07/19/18
LAD,"Lithia Motors",96.21,0.3,+0.31%,97.81,95.59,293300,07/19/18
