Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
COKE,"Coca Cola Bot Cons",1499424000,70.8,3.59,96540000,0.18,1,0.60%
COLB,"Columbia Banking Sys",3075142000,17.23,2.43,112830000,1.12,1.04,2.48%
CORE,"Core Mark Holding",1448632000,27.75,0.98,33500000,0.63,0.4,1.29%
CORT,"Corcept Therapeutics",1528082000,24.96,0.52,129120000,1.7,0,0.00%
CPF,"Central Pacific Financial Co",816405000,16.02,1.74,41200000,1.08,0.84,3.01%
CPS,"Cooper Std Hldg Inc",2428866000,11.65,11.72,135300000,0.73,0,0.00%
CPSI,"Computer Programs",372681000,18.01,1.46,-17100000,-0.04,0.4,1.52%
CRAY,"Cray Inc",875804000,0,-0.84,-133830000,1.48,0,0.00%
CROX,"Crocs Inc",1261708000,172.36,0.03,10240000,0.45,0,0.00%
CRR,"Carbo Ceramics",240228000,0,-3,-253120000,1.54,0,0.00%
CRVL,"Corvel Cp",1063888000,27.46,2.03,35700000,0.66,0,0.00%
CRY,Cryolife,1208223000,106.94,0.33,3700000,0.73,0,0.00%
CRZO,"Carrizo Oil & Gas",2031401000,11.22,1.69,87110000,2.15,0,0.00%
CSGS,"C S G Sys Intl",1253609000,16.6,2.27,61360000,0.87,0.84,2.23%
CTB,"Cooper Tire & Rubber Company",1504303000,14.18,2.69,95400000,0.66,0.42,1.38%
CTRE,"Caretrust REIT Inc",1407432000,14.13,0.54,25870000,0.78,0.82,4.64%
CTRL,"Control4 Corp",843291000,34.16,0.92,15980000,-0.22,0,0.00%
CTS,"Cts Corp",1171386000,24.79,1.43,14450000,1.23,0.16,0.45%
CUB,"Cubic Corp",1990613000,182.44,-0.45,-11210000,0.99,0.27,0.38%
CUBI,"Customers Bancorp",786870000,10.33,2.44,78840000,0.72,0,0.00%
CUTR,"Cutera Inc",478864000,78.58,0.68,29990000,0.38,0,0.00%
CVBF,"Cvb Financial Corp",2670497000,20.26,1.19,104410000,1.38,0.56,2.32%
CVCO,"Cavco Inds Inc",2069774000,33.02,6.07,61500000,1.45,0,0.00%
CVGW,"Calavo Growers Inc",1721860000,39.69,2.43,37270000,0.56,0.95,0.98%
CWT,"California Water Service Group Holding",1946835000,33.64,1.21,67180000,0.61,0.75,1.84%
CYH,"Community Health Systems",359213000,0,-0.9,-2459000000,1.68,0,0.00%
CYTK,Cytokinetics,382410000,0,-2.42,-127790000,1.39,0,0.00%
DAKT,"Daktronics Inc",380353000,39.14,0.22,5560000,1.08,0.28,3.25%
DAR,"Darling International Inc",3304525000,23.58,0.78,128470000,1.37,0,0.00%
DBD,"Diebold Nixdorf Inc",300556000,7.31,0.65,-233100000,2.04,0.3,6.32%
DCOM,"Dime Community Bncsh",674280000,13.13,1.36,51880000,0.58,0.56,3.14%
DDD,"3D Systems Corp",2266916000,0,-0.56,-66190000,1.26,0,0.00%
DEA,"Easterly Government Properties",916328000,16.06,0.1,4450000,0.41,1.04,5.22%
DEPO,"Depomed Inc",461502000,0,-0.58,-102500000,1.27,0,0.00%
DF,"Dean Foods Company",786696000,11.39,0.8,61590000,0.46,0.36,4.22%
DFIN,"Donnelly Financial Solutions Inc",630360000,20.22,0.91,9700000,2.38,0,0.00%
DGII,"Digi Intl Inc",356844000,77.06,0.17,9370000,1.41,0,0.00%
DIN,"Dineequity Inc",1322013000,19.64,3.79,-330540000,0.05,2.52,3.39%
DIOD,"Diodes Inc",1890898000,19.66,1.71,-1810000,1.01,0,0.00%
DNR,"Denbury Resources",1974022000,10.41,0.28,163150000,3.22,0,0.00%
DORM,"Dorman Products Inc",2531401000,20.42,3.72,106600000,0.93,0,0.00%
DPLO,"Diplomat Pharmacy Inc",1413790000,23.92,0.88,15510000,1.14,0,0.00%
DRH,"Diamondrock Hospitality Company",2406787000,11.64,0.39,91880000,1.39,0.5,4.34%
DSPG,"D S P Group Inc",277306000,51.46,0.24,-3000000,0.95,0,0.00%
DSW,"DSW Inc",2219936000,17.25,1.6,67300000,0.63,1,3.62%
DXPE,"Dxp Enterprise",809852000,36.67,0.92,16890000,2.5,0,0.00%
EBIX,"Ebix Inc",2410420000,23.67,3.17,100620000,1.3,0.3,0.38%
EBS,"Emergent Biosolutions",2752601000,22.49,2.51,82590000,1.2,0,0.00%
ECHO,"Echo Global Logistic",939295000,25.87,1.26,12620000,1.57,0,0.00%
ECOL,"US Ecology Inc",1526106000,33.48,2.07,49370000,0.65,0.72,1.04%
ECPG,"Encore Capital Grp",1228974000,8.87,4.05,83230000,1.4,0,0.00%
EE,"El Paso Electric Company",2577711000,28.08,2.27,98260000,0.4,1.44,2.26%
EFII,"Elec Imaging Inc",1517796000,429.25,0.08,-15350000,1.08,0,0.00%
EGHT,"8X8 Inc",2090368000,0,-0.36,-104500000,0.44,0,0.00%
EGL,"Engility Holdings Inc",1230731000,14.94,2.25,-35190000,1.83,0,0.00%
EGOV,"Nic Inc",1091584000,19.3,0.86,51610000,0.47,0.32,1.93%
EGP,"Eastgroup Properties",3440333000,21.43,2.29,83180000,0.84,2.56,2.65%
EGRX,"Eagle Pharmaceutical",1194860000,34.88,2.41,51940000,1.43,0,0.00%
EHTH,"Ehealth Inc",485446000,0,-2.9,-25410000,1.36,0,0.00%
EIG,"Employers Holdings Inc",1434888000,12.35,3.53,101200000,1.03,0.8,1.83%
ELY,"Callaway Golf Company",2110734000,18.86,1.18,40810000,0.99,0.04,0.18%
ENDP,"Endo Int'l Plc",3504504000,5.09,3.28,-2035430000,0.49,0,0.00%
ENSG,"The Ensign Group In",1872115000,23.77,1.51,40480000,0.62,0.18,0.50%
ENTA,"Enanta Pharmaceutica",1810417000,21.86,2.81,17710000,0.92,0,0.00%
ENVA,"Enova International Inc",1150855000,18.32,1.85,29240000,2.64,0,0.00%
EPAY,"Bottomline Tech In",2410603000,74.26,0.56,-33140000,0.94,0,0.00%
ERA,"Era Group Inc",271776000,0,-0.89,-28160000,0.91,0,0.00%
ESE,"Esco Technologies Inc",1698401000,28.37,2.11,53700000,1.04,0.32,0.48%
ESIO,"Electro Sci Inds",791365000,7.53,2.97,116220000,1.02,0,0.00%
ESND,"Essendant Inc",586366000,88.28,0.18,-266980000,1.32,0.56,3.52%
ETH,"Ethan Allen Interiors Inc",586313000,16.44,1.35,36370000,0.99,0.76,3.42%
EVTC,"Evertec Inc",1770732000,16.64,1.46,55050000,1.19,0.2,0.82%
EXLS,"Exlservice Holdings",2013654000,24.34,2.41,48890000,1.27,0,0.00%
EXPO,"Exponent Inc",2620214000,43.52,1.16,41310000,0.59,0.52,1.04%
EXPR,"Express Inc",784696000,23.57,0.44,19370000,0.86,0,0.00%
EXTN,"Exterran Corp",1025731000,106.85,0.08,33880000,0.92,0,0.00%
EXTR,"Extreme Networks",748649000,13.57,0.45,-8520000,1.39,0,0.00%
EZPW,"Ezcorp Inc",629013000,14.11,0.84,31860000,1.45,0,0.00%
FARO,"Faro Tech Inc",1141905000,96,0.7,-14520000,1.54,0,0.00%
FBP,"First Bancorp",1832993000,15.63,0.54,66960000,1.91,0,0.00%
