Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
GBX,"Greenbrier Companies",58.35,"48% Buy",55.88%,22.21%,334205,41.95,60.9
GCI,"Gannett Co. Inc",10.61,"8% Buy",53.90%,23.90%,963640,7.94,12.38
GCO,"Genesco Inc",46.35,"64% Buy",62.64%,31.50%,253450,20.9,47.4
GDOT,"Green Dot Corp",84.77,"72% Buy",59.90%,19.81%,281210,46.45,87.13
GEOS,"Geospace Technologie",13.86,"16% Buy",51.60%,29.45%,69505,9.18,18.71
GES,"Guess Inc",22.94,"24% Buy",51.04%,48.37%,705235,14.17,26.15
GFF,"Griffon Corp",18.4,"8% Sell",51.83%,29.13%,186595,16.8,24.5
GHL,"Greenhill & Co. Inc",28.3,"24% Sell",34.30%,17.61%,352760,13.8,33.45
GIFI,"Gulf Island Fab",9.48,"32% Sell",49.45%,51.05%,43880,6.9,13.95
GIII,"G-III Apparel Gp I",45.81,"32% Buy",52.60%,38.68%,430295,23.19,51.2
GLT,Glatfelter,18.82,"24% Buy",55.37%,53.52%,382425,15.3,23.85
GME,"Gamestop Corp",14.12,"48% Sell",42.35%,51.84%,3734425,12.2,20.97
GNBC,"Green Bancorp",23.75,"8% Buy",49.44%,16.60%,185835,19.5,25.15
GNL,"Global Net Lease Inc",21.55,"56% Buy",55.32%,26.77%,791995,15.55,22.53
GOV,"Government Properties Income Trust",17.11,"96% Buy",64.08%,18.59%,739095,11.87,19.6
GPI,"Group 1 Automotive",78.36,"72% Buy",59.19%,33.17%,220115,53.11,84.47
GPRE,"Green Plains Inc",17.3,"32% Sell",47.22%,31.78%,742010,15.25,21.9
GTLS,"Chart Industries In",76.17,"16% Buy",56.24%,24.63%,224400,32.71,80.31
GTY,"Getty Realty Corp",29.41,"100% Buy",63.20%,7.52%,74325,22.68,29.89
GWB,"Great Western Bancorp Inc",43.32,"24% Buy",53.78%,14.73%,161945,33.27,46.03
HA,"Hawaiian Hldgs Inc",42.1,"56% Buy",56.86%,25.39%,461480,32.4,44.25
HAFC,"Hanmi Financial Cp",26.45,"16% Sell",48.79%,15.09%,142440,24.25,33.1
HAYN,"Haynes Intl Inc",39.37,Hold,50.22%,21.86%,55615,29.82,45.14
HCI,"Homeowners Choice",41.09,"16% Sell",48.64%,34.77%,39325,27.11,44.25
HF,"HFF Inc",45.05,"72% Buy",62.58%,24.03%,206950,32.99,51.74
HFWA,"Heritage Financial",35.85,"72% Buy",53.80%,14.02%,202900,25.25,37.38
HI,"Hillenbrand Inc",50.95,"8% Buy",52.76%,21.51%,259540,34.65,53
HIBB,"Hibbett Sports Inc",19.8,"80% Sell",37.88%,133.71%,1148020,11.05,29.6
HLIT,"Harmonic Inc",5.55,"96% Buy",71.24%,41.52%,409490,2.8,5.65
HLX,"Helix Energy Solutions Group",9.29,"40% Buy",56.09%,32.04%,1068925,5.44,10.41
