Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
CENTA,"Central Garden & Pet",2063633000,22.63,1.75,78830000,0.39,0,0.00%
CENX,"Century Aluminum C",1131534000,34.32,0.38,48580000,0.79,0,0.00%
CEVA,"Ceva Inc",671044000,59.33,0.52,17030000,0.99,0,0.00%
CHCO,"City Holding Co",1251103000,18.38,4.45,54310000,0.73,1.84,2.25%
CHCT,"Community Healthcare Trust Inc",537764000,20.57,0.23,3510000,0.82,1.6,5.36%
CHS,"Chico's Fas",1148233000,13.26,0.65,101000000,0.7,0.34,3.94%
CHSP,"Chesapeake Lodging Trust",1892913000,13.71,1.21,76240000,0.98,1.6,5.14%
CHUY,"Chuy's Holdings Inc",544095000,36.88,0.88,28960000,-0.31,0,0.00%
CIR,"Circor International",854475000,21.89,1.97,11790000,1.76,0.08,0.17%
CJ,"C&J Energy Services Inc",1615608000,26.74,0.88,22460000,1,0,0.00%
CKH,"Seacor Smit Inc",974406000,38.87,1.37,61640000,0.86,0,0.00%
CLD,"Cloud Peak Energy Inc",205337000,0,-0.61,-6640000,2.02,0,0.00%
CLDT,"Chatham Lodging Trust [Reit]",974738000,10.28,0.67,29480000,1.05,1.32,6.20%
CLW,"Clearwater Paper Corp",378350000,12.37,1.77,97340000,1.06,0,0.00%
CMO,"Capstead Mortgage Corp",773806000,15.07,0.55,79590000,0.12,0.56,6.76%
CMTL,"Comtech Telecom Co",780829000,51.45,0.65,15830000,1.5,0.4,1.20%
CNMD,"C O N M E D Cp",2049444000,35.82,2.05,55490000,0.57,0.8,1.09%
CNSL,"Consolidated Communications Holdings Inc",895613000,416,0.03,64950000,0.75,1.55,12.42%
COHU,"Cohu Inc",718560000,18.64,1.37,32840000,1.02,0.24,0.94%
COKE,"Coca Cola Bot Cons",1333257000,38.98,3.59,96540000,0.17,1,0.71%
COLB,"Columbia Banking Sys",2988192000,17,2.43,112830000,1.14,1.04,2.52%
CORE,"Core Mark Holding",1121907000,24.43,0.98,33500000,0.56,0.4,1.67%
CORT,"Corcept Therapeutics",1477377000,24.48,0.52,129120000,1.93,0,0.00%
CPF,"Central Pacific Financial Co",821696000,16.14,1.74,41200000,1.1,0.84,2.99%
CPLA,"Capella Education Co",1215431000,28.33,3.69,23510000,0.28,1.72,1.65%
CPS,"Cooper Std Hldg Inc",2414513000,11.58,11.58,135300000,0.73,0,0.00%
CPSI,"Computer Programs",436790000,20.77,1.63,-17100000,0.1,0.4,1.18%
CRAY,"Cray Inc",973568000,0,-0.84,-133830000,1.59,0,0.00%
CROX,"Crocs Inc",1222895000,602.67,0.03,10240000,0.27,0,0.00%
CRR,"Carbo Ceramics",264917000,0,-3,-253120000,1.77,0,0.00%
CRVL,"Corvel Cp",1036018000,29.3,1.87,35700000,0.74,0,0.00%
CRY,Cryolife,1060439000,89.85,0.33,3700000,0.78,0,0.00%
CRZO,"Carrizo Oil & Gas",2329967000,16.4,1.69,87110000,2.2,0,0.00%
CSGS,"C S G Sys Intl",1358787000,19,2.17,61360000,0.93,0.84,2.04%
CTB,"Cooper Tire & Rubber Company",1422983000,9.89,2.69,95400000,0.61,0.42,1.58%
CTRE,"Caretrust REIT Inc",1263924000,13.49,0.4,25870000,0.79,0.82,4.98%
CTRL,"Control4 Corp",652851000,30.01,0.84,15980000,-0.25,0,0.00%
CTS,"Cts Corp",1153187000,24.72,1.43,14450000,1.24,0.16,0.45%
CUB,"Cubic Corp",1810795000,0,-0.45,-11210000,0.98,0.27,0.40%
CUBI,"Customers Bancorp",788760000,10.58,2.44,78840000,0.79,0,0.00%
CUTR,"Cutera Inc",526800000,61.99,0.68,29990000,0.45,0,0.00%
CVBF,"Cvb Financial Corp",2607649000,19.87,1.19,104410000,1.42,0.56,2.37%
CVCO,"Cavco Inds Inc",1866760000,34.4,6.07,61500000,1.47,0,0.00%
CVGW,"Calavo Growers Inc",1625225000,37.96,2.43,37270000,0.56,0.95,1.03%
CWT,"California Water Service Group Holding",1946835000,33.97,1.21,67180000,0.66,0.75,1.82%
CYH,"Community Health Systems",389605000,0,-0.9,-2459000000,1.64,0,0.00%
CYTK,Cytokinetics,403790000,0,-2.42,-127790000,1.49,0,0.00%
DAKT,"Daktronics Inc",373664000,37.82,0.22,5560000,1.1,0.28,3.37%
DAR,"Darling International Inc",3279828000,25.64,0.78,128470000,1.41,0,0.00%
DBD,"Diebold Nixdorf Inc",831762000,11.54,0.94,-233100000,2,0.3,2.77%
DCOM,"Dime Community Bncsh",653718000,13.16,1.36,51880000,0.76,0.56,3.13%
DDD,"3D Systems Corp",1420349000,0,-0.56,-66190000,1.36,0,0.00%
DEA,"Easterly Government Properties",877584000,14.96,0.1,4450000,0.46,1.04,5.52%
DEPO,"Depomed Inc",551961000,0,-0.58,-102500000,1.19,0,0.00%
DF,"Dean Foods Company",903452000,12.24,0.8,61590000,0.56,0.36,3.68%
DFIN,"Donnelly Financial Solutions Inc",708819000,18.67,1.11,9700000,1.96,0,0.00%
DGII,"Digi Intl Inc",367883000,79.71,0.17,9370000,1.41,0,0.00%
DIN,"Dineequity Inc",1275915000,17.69,4.06,-330540000,0.08,2.52,3.51%
DIOD,"Diodes Inc",1826896000,21.96,1.71,-1810000,0.99,0,0.00%
DNR,"Denbury Resources",2062148000,14.96,0.28,163150000,3.19,0,0.00%
DORM,"Dorman Products Inc",2455755000,20.86,3.46,106600000,0.88,0,0.00%
DPLO,"Diplomat Pharmacy Inc",1587123000,24.89,0.88,15510000,1.32,0,0.00%
DRH,"Diamondrock Hospitality Company",2350563000,11.86,0.43,91880000,1.41,0.5,4.26%
DSPG,"D S P Group Inc",278443000,55.65,0.23,-3000000,0.84,0,0.00%
DSW,"DSW Inc",2173420000,16.76,1.6,67300000,0.61,1,3.73%
DXPE,"Dxp Enterprise",700011000,44.13,0.92,16890000,2.44,0,0.00%
EBIX,"Ebix Inc",2486140000,25.71,3.17,100620000,1.45,0.3,0.37%
EBS,"Emergent Biosolutions",2639962000,34.13,1.57,82590000,1.32,0,0.00%
ECHO,"Echo Global Logistic",923592000,25.71,1.26,12620000,1.53,0,0.00%
ECOL,"US Ecology Inc",1448912000,36.36,1.84,49370000,0.69,0.72,1.08%
ECPG,"Encore Capital Grp",942192000,8.99,4.05,83230000,1.53,0,0.00%
EE,"El Paso Electric Company",2503238000,25.48,2.4,98260000,0.42,1.44,2.35%
EFII,"Elec Imaging Inc",1523163000,560.5,0.06,-15350000,1.08,0,0.00%
EGHT,"8X8 Inc",1849028000,0,-0.36,-104500000,0.51,0,0.00%
EGL,"Engility Holdings Inc",1251466000,15.47,2.21,-35190000,1.84,0,0.00%
EGOV,"Nic Inc",1067486000,20.06,0.8,51610000,0.52,0.32,1.99%
EGP,"Eastgroup Properties",3352770000,20.88,2.29,83180000,0.9,2.56,2.72%
EGRX,"Eagle Pharmaceutical",1170431000,33.38,2.41,51940000,1.46,0,0.00%
EHTH,"Ehealth Inc",436200000,0,-2.9,-25410000,1.59,0,0.00%
EIG,"Employers Holdings Inc",1516788000,12.85,3.53,101200000,0.98,0.8,1.76%
ELY,"Callaway Golf Company",1808143000,21.67,0.89,40810000,1.04,0.04,0.21%
ENDP,"Endo Int'l Plc",2721286000,3.69,3.28,-2035430000,0.33,0,0.00%
ENSG,"The Ensign Group In",1839581000,26.89,1.38,40480000,0.67,0.18,0.49%
ENTA,"Enanta Pharmaceutica",1876513000,34.16,2.81,17710000,1,0,0.00%
ENVA,"Enova International Inc",1058750000,17.03,1.85,29240000,2.84,0,0.00%
EPAY,"Bottomline Tech In",2183589000,99.68,0.56,-33140000,0.99,0,0.00%
ERA,"Era Group Inc",305612000,0,-0.89,-28160000,0.79,0,0.00%
ESE,"Esco Technologies Inc",1580510000,29.17,2.11,53700000,1.03,0.32,0.52%
ESIO,"Electro Sci Inds",610731000,8.28,2.13,116220000,0.97,0,0.00%
ESND,"Essendant Inc",617247000,86.28,0.18,-266980000,1.35,0.56,3.61%
ETH,"Ethan Allen Interiors Inc",610416000,16.56,1.35,36190000,1.06,0.76,3.40%
EVTC,"Evertec Inc",1710201000,16.25,1.48,55050000,1.2,0.1,0.42%
EXLS,"Exlservice Holdings",2041984000,23.79,2.53,48890000,1.17,0,0.00%
EXPO,"Exponent Inc",2517284000,42.83,1.16,41310000,0.67,0.52,1.06%
EXPR,"Express Inc",728060000,21.64,0.44,19370000,0.88,0,0.00%
EXTN,"Exterran Corp",996465000,337.5,0.08,33880000,0.84,0,0.00%
EXTR,"Extreme Networks",974635000,18.89,0.45,-8520000,1.54,0,0.00%
EZPW,"Ezcorp Inc",615398000,14.44,0.8,31860000,1.51,0,0.00%
FARO,"Faro Tech Inc",1144452000,98.79,0.7,-14520000,1.47,0,0.00%
FBP,"First Bancorp",1776726000,15.44,0.54,66960000,1.88,0,0.00%
FCF,"First Commonwealth Financial Corp",1725189000,17.6,1,55170000,0.95,0.36,2.05%
FCFS,"First Cash Fin Svcs",3742608000,26.16,3.15,143890000,0.6,0.88,1.07%
FCN,"Fti Consulting",2943316000,19.93,3.79,107960000,0.1,0,0.00%
FCPT,"Four Corners Property Trust In",1571991000,17.94,1.26,71390000,-0.02,1.1,4.44%
FELE,"Franklin Electric Co",2193418000,23.27,2.05,78180000,1.59,0.48,1.01%
FF,"Futurefuel Corp",586553000,12.21,1.1,23510000,1.71,0.24,1.79%
FFBC,"First Finl Bncp [Oh]",2963643000,15.53,1.98,96790000,1.1,0.76,2.47%
FFIN,"First Finl Bkshs Inc",3827292000,30.13,1.87,120370000,1.27,0.84,1.49%
FIX,"Comfort Systems USA",2038890000,23.94,2.27,55270000,1.21,0.32,0.59%
FLOW,"SPX Flow Inc",1936786000,26.99,1.68,46400000,1.93,0,0.00%
FMBI,"First Midwest Bncp",2755329000,18.58,1.44,98390000,1.18,0.44,1.64%
FN,Fabrinet,1419174000,16.56,2.33,97120000,0.6,0,0.00%
FNSR,"Finisar Corp",1972975000,43.56,0.39,-48290000,1.34,0,0.00%
FORM,"Formfactor Inc",934784000,14.03,0.93,40910000,1.45,0,0.00%
FORR,"Forrester Resrch",832474000,67.5,0.66,15140000,0.37,0.8,1.80%
FOSL,"Fossil Group",1235924000,0,-0.54,-478170000,-0.04,0,0.00%
FOXF,"Fox Factory Cp",1847713000,30.91,1.59,43130000,0.66,0,0.00%
FRAN,"Francesca's Holdings",288560000,26.03,0.3,15560000,0.01,0,0.00%
FRGI,"Fiesta Restaurant Gp",790250000,56.44,0.52,-36230000,0.45,0,0.00%
FSB,"Franklin Financial Network Inc",554682000,14.55,2.64,28080000,1.1,0,0.00%
FSP,"Franklin Street Properties",906094000,8.19,-0.18,-15940000,0.77,0.36,4.27%
FSS,"Federal Signal Corp",1400400000,25.3,0.94,61600000,1.16,0.32,1.35%
FTD,"Ftd Companies",98548000,0,0,-234040000,0.26,0,0.00%
FTK,"Flotek Industries",175129000,0,0,-27400000,1.49,0,0.00%
FTR,"Frontier Commun Cp",393487000,0,-3.21,-1804000000,0.65,1.2,24.84%
FUL,"H. B. Fuller Company",2836691000,21.37,2.64,58240000,1.51,0.62,1.10%
FWRD,"Foward Air Corp",1823222000,23.37,2.67,87320000,1.27,0.6,0.96%
GBCI,"Glacier Bancorp Inc",3644071000,22.86,1.91,116380000,1.4,1.04,2.38%
GBX,"Greenbrier Companies",1801031000,13.86,4.08,116070000,1.61,1,1.77%
GCI,"Gannett Co. Inc",1189153000,10.1,1.02,6890000,0.98,0.64,6.21%
GCO,"Genesco Inc",795804000,13.29,3.01,-111840000,1.05,0,0.00%
GDOT,"Green Dot Corp",4077797000,39.65,2.03,85890000,0.82,0,0.00%
GEOS,"Geospace Technologie",188762000,0,-3.63,-56790000,1.29,0,0.00%
GES,"Guess Inc",1810628000,31.37,0.7,-7890000,0.21,0.9,4.10%
GFF,"Griffon Corp",789399000,26.85,0.65,14910000,1.38,0.28,1.60%
GHL,"Greenhill & Co. Inc",756160000,3240,0.01,-26650000,1.12,0.2,0.62%
GIFI,"Gulf Island Fab",138368000,0,-2.42,-44770000,1.24,0.02,0.22%
GIII,"G-III Apparel Gp I",2203308000,22.45,2,62120000,0.31,0,0.00%
GLT,Glatfelter,885362000,20.77,0.97,7910000,1.22,0.52,2.58%
GME,"Gamestop Corp",1497489000,4.8,3.09,34700000,1.38,1.52,10.25%
GNBC,"Green Bancorp",898207000,17.74,1.37,34140000,2.1,0.4,1.65%
GNL,"Global Net Lease Inc",1396632000,10.35,0.23,23570000,0.5,2.13,10.34%
GOV,"Government Properties Income Trust",1492208000,7.1,0.17,12090000,1.19,1.72,11.70%
GPI,"Group 1 Automotive",1481635000,8.12,8.49,213440000,1.8,1.04,1.51%
GPRE,"Green Plains Inc",668287000,0,-1.35,61060000,1.28,0.48,2.94%
GTLS,"Chart Industries In",2352590000,48.4,1.54,28000000,1.07,0,0.00%
GTY,"Getty Realty Corp",1145057000,16.52,1.16,47190000,0.48,1.28,4.56%
GWB,"Great Western Bancorp Inc",2475567000,14.95,2.83,144790000,1.58,1,2.36%
HA,"Hawaiian Hldgs Inc",2019452000,7.08,5.55,364040000,1.48,0.48,1.22%
HAFC,"Hanmi Financial Cp",817375000,13.16,1.88,54660000,0.79,0.96,3.88%
HAYN,"Haynes Intl Inc",529095000,0,-1.03,-10190000,1.4,0.88,2.11%
HCI,"Homeowners Choice",400593000,0,-1.11,-6890000,1.75,1.5,3.54%
HF,"HFF Inc",1720058000,18.26,2.41,94960000,0.95,0,0.00%
HI,"Hillenbrand Inc",3053613000,21.07,2.34,126200000,1.24,0.83,1.68%
HIBB,"Hibbett Sports Inc",448168000,13.03,1.78,35030000,0.82,0,0.00%
HLIT,"Harmonic Inc",402665000,0,-0.39,-82960000,0.81,0,0.00%
HLX,"Helix Energy Solutions Group",1521090000,90.36,0.11,30050000,2.46,0,0.00%
HMN,"Horace Mann Educators Corp",1768493000,23.26,1.87,169460000,0.91,1.14,2.62%
HMST,"Homestreet Inc",786467000,17.16,1.71,68950000,0.33,0,0.00%
HMSY,"Hms Hldgs Cp",1969817000,42.98,0.55,40050000,0.88,0,0.00%
HOPE,"Hope Bancorp Inc",2292999000,12.19,1.39,139450000,1.41,0.56,3.30%
HPR,"Highpoint Resources Corp.",1424707000,0,-0.29,-138230000,3.31,0,0.00%
HQY,Healthequity,4599146000,100.53,0.76,47360000,1.42,0,0.00%
HSC,"Harsco Corp",1986051000,29.05,0.84,7820000,2.72,0,0.00%
HSII,"Heidrick & Struggl",647064000,24.03,1.44,-48640000,1.48,0.52,1.50%
HSKA,"Heska Corp",728021000,57.72,1.75,9950000,0.75,0,0.00%
HSTM,"Healthstream Inc",889865000,82.18,0.34,10000000,0.74,0,0.00%
HT,"Hersha Hospitality Trust",836431000,10.56,-0.43,99870000,1.33,1.12,5.28%
HTLD,"Heartland Express",1573767000,35.37,0.54,75170000,0.66,0.08,0.42%
HUBG,"Hub Group Inc A",1573688000,22.52,2.04,135150000,1.5,0,0.00%
HVT,"Haverty Furniture Companies",420546000,15.79,1.26,21080000,0.97,0.72,3.62%
HWKN,"Hawkins Inc",398202000,26.67,1.41,-9180000,0.65,0.88,2.34%
HZO,"Marinemax Inc",491280000,12.68,1.49,23550000,1.13,0,0.00%
IBP,"Installed Building Products I",1695340000,44.54,1.19,41140000,0.93,0,0.00%
