Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
CBB,"Cincinnati Bell Inc",657096000,0,-0.53,35100000,1.24,N/A,0.00%
CBL,"Cbl & Associates Properties",768381000,2.3,-0.12,120940000,1.14,0.865,19.44%
CBM,"Cambrex Corp",2176867000,17.27,3.75,102450000,2.4,N/A,0.00%
CBU,"Community Bank System",3356394000,20.87,3.16,150720000,1,1.36,2.07%
CCMP,"Cabot Microelectron",2893793000,23.93,4.82,86950000,1.37,1.2,1.06%
CCOI,"Cogent Comm Hldgs",2529203000,113.02,0.48,5880000,0.5,2.04,3.75%
CCRN,"Cross Ctry Hlthcr",369069000,19.86,0.51,37510000,0.86,N/A,0.00%
CDR,"Cedar Shopping Centers Inc",411357000,7.35,-0.21,19140000,0.87,0.2,4.43%
CECO,"Career Education",1123887000,29.65,0.54,-31900000,2.77,N/A,0.00%
CEIX,"Consol Energy Inc",1154556000,0,4.84,67630000,N/A,N/A,0.00%
CENT,"Central Garden",2046762000,20.43,1.92,78830000,0.05,N/A,0.00%
CENTA,"Central Garden & Pet",1885986000,18.95,1.92,78830000,0.32,N/A,0.00%
CENX,"Century Aluminum C",1115148000,18.22,0.69,48580000,0.78,N/A,0.00%
CEVA,"Ceva Inc",667509000,116.54,0.26,17030000,1.06,N/A,0.00%
CHCO,"City Holding Co",1249013000,18.24,4.45,54310000,0.67,1.82,2.25%
CHCT,"Community Healthcare Trust Inc",564928000,21.06,0.31,3510000,0.79,1.595,5.14%
CHS,"Chico's Fas",1140483000,13.71,0.65,101000000,0.75,0.335,3.79%
CHSP,"Chesapeake Lodging Trust",1971456000,14.11,1.21,76240000,0.92,1.6,4.90%
CHUY,"Chuy's Holdings Inc",466973000,28.68,0.95,28960000,-0.23,N/A,0.00%
CIR,"Circor International",882880000,22.57,1.97,11790000,1.87,0.038,0.09%
CJ,"C&J Energy Services Inc",1613296000,16.34,1.46,22460000,0.91,N/A,0.00%
CKH,"Seacor Smit Inc",941610000,38,1.37,61640000,0.79,N/A,0.00%
CLD,"Cloud Peak Energy Inc",188692000,0,-0.61,-6640000,1.94,N/A,0.00%
CLDT,"Chatham Lodging Trust [Reit]",997431000,10.68,0.83,29480000,1.07,1.32,6.07%
CLW,"Clearwater Paper Corp",476228000,17.38,1.66,97340000,1.03,N/A,0.00%
CMO,"Capstead Mortgage Corp",774225000,15.18,0.55,79590000,0.1,0.68,8.12%
CMTL,"Comtech Telecom Co",848676000,55.85,0.65,15830000,1.55,0.4,1.11%
CNMD,"C O N M E D Cp",2192299000,37.14,2.1,55490000,0.55,0.8,1.03%
CNSL,"Consolidated Communications Holdings Inc",870675000,0,-0.23,64950000,0.78,1.55,12.68%
COHU,"Cohu Inc",775119000,17.32,1.52,32840000,1.11,0.24,0.89%
COKE,"Coca Cola Bot Cons",1540383000,71.5,2.35,96540000,0.18,1,0.61%
COLB,"Columbia Banking Sys",3063419000,17.31,2.43,112830000,1.12,0.96,2.30%
CORE,"Core Mark Holding",1583207000,31.54,1.12,33500000,0.63,0.4,1.16%
CORT,"Corcept Therapeutics",1600330000,24.36,0.56,129120000,1.7,N/A,0.00%
CPF,"Central Pacific Financial Co",836705000,16.47,1.74,41200000,1.08,0.76,2.67%
CPS,"Cooper Std Hldg Inc",2545231000,12.2,11.72,135300000,0.73,N/A,0.00%
CPSI,"Computer Programs",380430000,18.63,1.46,-17100000,-0.04,0.4,1.48%
CRAY,"Cray Inc",879887000,0,-0.84,-133830000,1.48,N/A,0.00%
CROX,"Crocs Inc",1390398000,183.09,0.11,10240000,0.45,N/A,0.00%
CRR,"Carbo Ceramics",241615000,0,-3,-253120000,1.54,N/A,0.00%
CRVL,"Corvel Cp",1138464000,29.68,2.03,35700000,0.66,N/A,0.00%
CRY,Cryolife,1243164000,110.48,0.31,3700000,0.73,N/A,0.00%
CRZO,"Carrizo Oil & Gas",1912342000,10.95,2.18,87110000,2.15,N/A,0.00%
CSGS,"C S G Sys Intl",1237524000,16.41,2.27,61360000,0.87,0.815,2.21%
CTB,"Cooper Tire & Rubber Company",1489285000,13.86,2.14,95400000,0.66,0.42,1.41%
CTRE,"Caretrust REIT Inc",1498130000,14.63,0.54,25870000,0.78,0.78,4.22%
CTRL,"Control4 Corp",879309000,39.68,0.92,15980000,-0.22,N/A,0.00%
CTS,"Cts Corp",1211094000,25.45,1.43,14450000,1.23,0.16,0.44%
CUB,"Cubic Corp",2094163000,196.03,0.39,-11210000,0.99,0.27,0.35%
CUBI,"Customers Bancorp",780982000,10.21,2.44,78840000,0.72,N/A,0.00%
CUTR,"Cutera Inc",462256000,77.39,0.44,29990000,0.38,N/A,0.00%
CVBF,"Cvb Financial Corp",2650509000,20.4,1.19,104410000,1.38,0.56,2.33%
CVCO,"Cavco Inds Inc",2216255000,35.43,6.91,61500000,1.45,N/A,0.00%
CVGW,"Calavo Growers Inc",1804439000,43.6,2.43,37270000,0.56,0.95,0.93%
CWT,"California Water Service Group Holding",1934818000,33.76,1.21,67180000,0.61,0.743,1.85%
CYH,"Community Health Systems",415013000,0,-0.9,-2459000000,1.68,N/A,0.00%
CYTK,Cytokinetics,393336000,0,-2.42,-127790000,1.39,N/A,0.00%
DAKT,"Daktronics Inc",343343000,58.08,0.13,5560000,1.08,0.28,3.64%
DAR,"Darling International Inc",3322637000,24.2,0.84,128470000,1.37,N/A,0.00%
DBD,"Diebold Nixdorf Inc",380450000,7.62,0.65,-233100000,2.04,0.2,4.00%
DCOM,"Dime Community Bncsh",689264000,13.57,1.36,51880000,0.58,0.56,3.04%
DDD,"3D Systems Corp",2404893000,0,-0.48,-66190000,1.26,N/A,0.00%
DEA,"Easterly Government Properties",1224507000,16.2,0.1,4450000,0.41,1.03,5.08%
DF,"Dean Foods Company",679793000,10.05,0.75,61590000,0.46,0.36,4.84%
DFIN,"Donnelly Financial Solutions Inc",695300000,22.6,0.91,9700000,2.38,N/A,0.00%
DGII,"Digi Intl Inc",362292000,78.24,0.17,9370000,1.41,N/A,0.00%
DIN,"Dineequity Inc",1449807000,21.51,3.79,-330540000,0.05,3.2,3.91%
DIOD,"Diodes Inc",1938984000,20.16,1.93,-1810000,1.01,N/A,0.00%
DNR,"Denbury Resources",2409147000,13.05,0.41,163150000,3.22,N/A,0.00%
DORM,"Dorman Products Inc",2682748000,21.64,3.72,106600000,0.93,N/A,0.00%
DPLO,"Diplomat Pharmacy Inc",1473318000,24.61,0.8,15510000,1.14,N/A,0.00%
DRH,"Diamondrock Hospitality Company",2471218000,11.77,0.39,91880000,1.39,0.5,4.21%
DSPG,"D S P Group Inc",289476000,53.54,0.24,-3000000,0.95,N/A,0.00%
DSW,"DSW Inc",2622540000,17,1.6,67300000,0.63,0.9,2.75%
DXPE,"Dxp Enterprise",817156000,36.44,1.3,16890000,2.5,N/A,0.00%
EBIX,"Ebix Inc",2459369000,23.63,3.35,100620000,1.3,0.3,0.38%
EBS,"Emergent Biosolutions",3077731000,24.36,2.51,82590000,1.2,N/A,0.00%
ECHO,"Echo Global Logistic",946433000,26.63,1.26,12620000,1.57,N/A,0.00%
ECOL,"US Ecology Inc",1603071000,35.02,2.07,49370000,0.65,0.72,0.99%
ECPG,"Encore Capital Grp",1193508000,8.82,4.51,83230000,1.4,N/A,0.00%
EE,"El Paso Electric Company",2518711000,27.4,2.27,98260000,0.4,1.365,2.21%
EFII,"Elec Imaging Inc",1527560000,430.63,0.08,-15350000,1.08,N/A,0.00%
EGHT,"8X8 Inc",2090368000,0,-0.36,-104500000,0.44,N/A,0.00%
EGL,"Engility Holdings Inc",1292841000,15.55,2.25,-35190000,1.83,N/A,0.00%
EGOV,"Nic Inc",1121536000,19.77,0.86,51610000,0.47,0.32,1.90%
EGP,"Eastgroup Properties",3495372000,21.48,2.29,83180000,0.84,2.56,2.62%
EGRX,"Eagle Pharmaceutical",1228143000,35.68,2.25,51940000,1.43,N/A,0.00%
EHTH,"Ehealth Inc",581538000,0,-2.9,-25410000,1.36,N/A,0.00%
EIG,"Employers Holdings Inc",1459458000,12.66,3.53,101200000,1.03,0.75,1.68%
ELY,"Callaway Golf Company",2149455000,19.4,1.18,40810000,0.99,0.04,0.18%
ENDP,"Endo Int'l Plc",3712759000,5.18,3.11,-2035430000,0.49,N/A,0.00%
ENSG,"The Ensign Group In",1992443000,25.41,1.51,40480000,0.62,0.178,0.47%
ENTA,"Enanta Pharmaceutica",1761254000,21.79,4.22,17710000,0.92,N/A,0.00%
ENVA,"Enova International Inc",1176468000,18.78,1.85,29240000,2.64,N/A,0.00%
EPAY,"Bottomline Tech In",2654767000,85.04,0.76,10600000,0.94,N/A,0.00%
ERA,"Era Group Inc",263750000,0,-0.54,-28160000,0.91,N/A,0.00%
ESE,"Esco Technologies Inc",1767062000,29.46,2.33,53700000,1.04,0.32,0.47%
ESIO,"Electro Sci Inds",771564000,7.56,2.97,116220000,1.02,N/A,0.00%
ESND,"Essendant Inc",542270000,81.39,0.18,-266980000,1.32,0.56,3.89%
ETH,"Ethan Allen Interiors Inc",600905000,16.78,1.35,36370000,0.99,1.07,4.72%
EVTC,"Evertec Inc",1778004000,16.92,1.46,55050000,1.19,0.05,0.20%
EXLS,"Exlservice Holdings",2110065000,25.54,2.41,48890000,1.27,N/A,0.00%
EXPO,"Exponent Inc",2664448000,45.17,1.16,41310000,0.59,0.47,0.92%
EXPR,"Express Inc",744455000,22.32,0.44,19370000,0.86,N/A,0.00%
EXTN,"Exterran Corp",1027537000,110.92,0.26,33880000,0.92,N/A,0.00%
EXTR,"Extreme Networks",734743000,13.72,0.46,-46790000,1.39,N/A,0.00%
EZPW,"Ezcorp Inc",601783000,13.15,0.84,31860000,1.45,N/A,0.00%
FARO,"Faro Tech Inc",1155489000,97.5,0.7,-14520000,1.54,N/A,0.00%
FBP,"First Bancorp",1924215000,16.7,0.54,66960000,1.91,N/A,0.00%
FCF,"First Commonwealth Financial Corp",1673001000,16.75,1,55170000,1.01,0.34,2.04%
FCFS,"First Cash Fin Svcs",3626194000,26.16,3.15,143890000,0.48,0.86,1.05%
FCN,"Fti Consulting",2868043000,19.93,3.79,107960000,0.17,N/A,0.00%
FCPT,"Four Corners Property Trust In",1702886000,19.5,1.26,71390000,-0.04,1.068,3.95%
FELE,"Franklin Electric Co",2277600000,23.9,2.05,78180000,1.58,0.455,0.93%
FF,"Futurefuel Corp",651289000,12.29,1.22,23510000,1.64,0.24,1.61%
FFBC,"First Finl Bncp [Oh]",3078955000,15.92,1.98,96790000,1.05,0.72,2.29%
FFIN,"First Finl Bkshs Inc",4056817000,32.14,1.87,120370000,1.27,0.78,1.30%
FIX,"Comfort Systems USA",2094750000,24.93,2.27,55270000,1.33,0.315,0.56%
FLOW,"SPX Flow Inc",2053038000,25.52,1.92,46400000,1.95,N/A,0.00%
FMBI,"First Midwest Bncp",2783381000,18.92,1.44,98390000,1.13,0.42,1.55%
FN,Fabrinet,1740852000,19.86,2.42,84170000,0.61,N/A,0.00%
FNSR,"Finisar Corp",2405295000,52.03,0.39,-48290000,1.21,N/A,0.00%
FORM,"Formfactor Inc",1085742000,18.61,0.79,40910000,1.4,N/A,0.00%
FORR,"Forrester Resrch",883623000,74.39,0.66,15140000,0.47,0.78,1.60%
