Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
CMO,"Capstead Mortgage Corp",8.37,-13.70,-3.24%,-6.48%,-4.89%,-14.15%
CMTL,"Comtech Telecom Co",33.03,+63.70,+49.32%,+3.61%,+7.98%,+82.69%
CNMD,"C O N M E D Cp",73.09,+49.10,+43.40%,-0.15%,+12.39%,+42.87%
CNSL,"Consolidated Communications Holdings Inc",12.57,-28.90,+3.12%,+1.70%,+11.24%,-30.74%
COHU,"Cohu Inc",24.95,+35.10,+13.67%,+1.80%,+16.59%,+30.02%
COKE,"Coca Cola Bot Cons",142.9,-38.80,-33.62%,+5.75%,-15.14%,-40.59%
COLB,"Columbia Banking Sys",40.8,-0.10,-6.08%,-0.24%,+1.47%,+6.25%
CORE,"Core Mark Holding",24.31,-18.30,-23.02%,+7.09%,+17.95%,-33.27%
CORT,"Corcept Therapeutics",12.82,-3.80,-29.01%,-18.45%,-23.14%,+5.34%
CPF,"Central Pacific Financial Co",27.76,-11.30,-6.94%,-3.11%,-4.54%,-8.83%
CPLA,"Capella Education Co",104.15,+47.70,+34.56%,+5.52%,+13.51%,+48.57%
CPS,"Cooper Std Hldg Inc",133.62,+27.50,+9.08%,+2.26%,+7.93%,+30.23%
CPSI,"Computer Programs",31,-1.30,+3.16%,-5.78%,+3.85%,+2.31%
CRAY,"Cray Inc",23.95,+16.90,-1.03%,-2.64%,+0.42%,+20.35%
CROX,"Crocs Inc",17.91,+112.60,+41.69%,+1.70%,+13.35%,+125.28%
CRR,"Carbo Ceramics",9.55,+25.40,-6.19%,+4.14%,+8.03%,+45.80%
CRVL,"Corvel Cp",54.7,+9.30,+3.40%,+1.30%,+11.52%,+13.72%
CRY,Cryolife,28.95,+62.10,+51.17%,+3.95%,+28.95%,+53.17%
CRZO,"Carrizo Oil & Gas",28.39,+92.60,+33.41%,+1.94%,+41.45%,+76.23%
CSGS,"C S G Sys Intl",40.38,-2.00,-7.85%,-1.20%,-5.63%,-2.84%
CTB,"Cooper Tire & Rubber Company",28.15,-22.00,-20.37%,+7.03%,+15.13%,-22.98%
CTRE,"Caretrust REIT Inc",16.6,-4.90,-0.95%,-0.54%,+25.66%,-8.08%
CTRL,"Control4 Corp",25.1,+5.90,-15.66%,+3.25%,+20.44%,+9.80%
CTS,"Cts Corp",34.85,+55.50,+35.34%,-3.19%,+16.36%,+58.05%
CUB,"Cubic Corp",66.5,+45.40,+12.81%,+3.58%,+7.69%,+40.44%
CUBI,"Customers Bancorp",25.04,-20.20,-3.66%,-11.77%,-13.12%,-12.93%
CUTR,"Cutera Inc",38.65,+29.00,-14.77%,-4.09%,-22.93%,+46.40%
CVBF,"Cvb Financial Corp",23.65,+8.50,+0.38%,+5.49%,+6.77%,+10.15%
CVCO,"Cavco Inds Inc",206.5,+52.00,+35.32%,-0.55%,+21.22%,+61.58%
CVGW,"Calavo Growers Inc",92.5,+24.10,+9.60%,-3.80%,-1.28%,+26.71%
CWT,"California Water Service Group Holding",40.5,+3.40,-10.69%,+3.98%,+4.52%,+3.45%
CYH,"Community Health Systems",3.35,-50.70,-21.36%,+0.90%,-11.38%,-54.67%
CYTK,Cytokinetics,7.45,-32.90,-8.59%,-10.24%,-10.24%,-47.54%
DAKT,"Daktronics Inc",8.38,-15.50,-8.21%,-1.53%,-6.99%,-13.16%
