Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
UFI,"Unifi Inc",32.21,"32% Sell",50.78%,29.58%,67220,28.97,39.21
UFPI,"Universal Forest Prd",36.96,"40% Buy",50.52%,16.25%,183785,27.5,39.58
UHT,"Universal Health Realty Income Trust",75.7,"80% Buy",75.90%,13.57%,28355,53,78.61
UIHC,"United Insurance Hld",20.75,"40% Buy",51.57%,14.76%,73955,13.6,22.23
UNF,"Unifirst Corp",184.4,"8% Buy",49.49%,12.89%,55960,136.55,193.05
UNT,"Unit Corp",25.8,"32% Buy",50.98%,43.57%,307895,15.29,28.68
USCR,"U S Concrete Inc",48.45,"88% Sell",41.35%,57.58%,401205,44,86.35
USPH,"U.S. Physical Therapy",119.6,"96% Buy",70.31%,38.16%,63990,56.5,120.75
UVE,"Universal Insurance Holdings Inc",44.55,"56% Buy",65.38%,15.14%,222060,15.07,45.9
UVV,"Universal Corp",59.45,"32% Sell",41.63%,55.29%,218085,45.95,71.6
VAC,"Marriot Vacations Worldwide Cor",124.69,"64% Buy",56.50%,28.58%,269065,107.17,154.14
VECO,"Veeco Instrument",11.25,"56% Sell",38.99%,89.04%,850780,10,22.35
VG,"Vonage Holdings",14.13,"32% Buy",58.15%,32.44%,1369280,7.62,14.61
VIAV,"Viavi Solutions",11.48,"96% Buy",67.52%,28.81%,2465675,8.34,11.55
VICR,"Vicor Cp",59.9,"40% Buy",59.61%,31.14%,275470,16.3,64.5
VIVO,"Meridian Bioscience",15.5,"32% Buy",51.35%,16.68%,148830,13.53,17.1
VRA,"Vera Bradley",14.8,"88% Buy",58.82%,27.59%,234325,6.99,15.47
VREX,"Varex Imaging Corp",31.6,"16% Sell",43.82%,109.55%,479645,27.31,43.76
VRTS,"Virtus Inv Prts",128.05,"16% Sell",46.36%,20.79%,45335,103.81,138.02
VRTU,"Virtusa Corp",57,"96% Buy",64.41%,23.20%,141160,33.5,58.09
VRTV,"Veritiv Corp",48.15,"88% Buy",66.80%,50.56%,79845,20.35,51
VSI,"Vitamin Shoppe Inc",13.6,"96% Buy",81.32%,102.47%,809815,2.95,13.95
VSTO,"Vista Outdoor Inc",18.03,"64% Buy",59.76%,53.10%,565760,12.35,23.71
VVI,"Viad Corp",61.6,"88% Buy",67.43%,13.93%,50670,49.2,62.3
WABC,"Westamerica Bancorp",62.88,"56% Buy",56.58%,17.43%,86725,49.38,64.76
WAGE,"Wageworks Inc",52.15,Hold,49.22%,28.53%,218460,38.4,65.8
WD,"Walker & Dunlop",55.17,"56% Sell",46.64%,26.49%,210090,42.66,61.44
WDFC,"W D 40 Co",173.35,"96% Buy",69.83%,12.28%,47090,106.3,176.05
WDR,"Waddell & Reed Financial",20.42,"24% Buy",53.55%,23.45%,818635,17.53,23.82
WETF,"Wisdomtree Invstmnts",8.08,"56% Sell",35.93%,30.87%,1187120,7.7,13.41
WGO,"Winnebago Industries",38.6,"16% Sell",48.43%,37.09%,379285,34.3,58.65
WING,"Wingstop Inc",66.74,"96% Buy",74.28%,57.45%,699185,31.53,67.62
WIRE,"Encore Wire Cp",51.55,"48% Buy",55.73%,29.00%,78095,39.8,58.7
WLH,"William Lyon Homes",20.21,"88% Sell",36.93%,33.74%,458445,19.77,32.95
WNC,"Wabash National Corp",18.93,"16% Sell",49.11%,27.05%,456765,17.47,26.54
WPG,"Washington Prime Group Inc",8.08,"56% Buy",57.95%,29.38%,1979655,5.4,8.87
WRLD,"World Acceptance Cp",117.13,"56% Buy",55.18%,22.77%,64330,71.02,125.14
WSR,"Whitestone REIT",13.72,"96% Buy",68.08%,14.67%,219855,10.06,15.15
WTS,"Watts Water Technologies",83.35,"24% Buy",51.68%,16.46%,109715,60.15,93.35
WWE,"World Wrestling Entertainment",83.75,"96% Buy",66.46%,19.95%,849430,21.22,85.93
WWW,"Wolverine World Wide",38.33,"80% Buy",61.45%,19.03%,608980,25.25,38.85
XOXO,"Xoxo Group Inc",30.11,"8% Buy",46.58%,26.12%,191395,17.49,35.83
XPER,"Xperi Corp",16.4,"40% Sell",47.05%,26.22%,353530,15.6,28.33
ZEUS,"Olympic Steel Inc",21.62,"32% Sell",47.01%,47.93%,74210,17.01,25.84
ZUMZ,"Zumiez Inc",29.95,"80% Buy",68.64%,33.79%,486480,12.35,31.8
"Downloaded from Barchart.com as of 08-28-2018 07:43pm CDT"
